scenario_id,decision_type,question,location,outdoor_temp,appliance_age,flow_rate,alternative,energy_cost,environmental,comfort,practicality,rank,weighted_score
1,HVAC,Cold day today with 2 people home. What's a good heating temperature?,"Bethlehem, PA",26,,,67,8.0,8.0,6.0,9.0,1,7.749999999999999
1,HVAC,Cold day today with 2 people home. What's a good heating temperature?,"Bethlehem, PA",26,,,70,6.0,6.0,8.0,9.0,2,6.85
1,HVAC,Cold day today with 2 people home. What's a good heating temperature?,"Bethlehem, PA",26,,,73,4.0,4.0,8.0,7.0,3,5.249999999999999
2,HVAC,It's hot today and we're home as usual. What temperature should I set the AC to?,"Doylestown, PA",91,,,72,7.0,7.0,8.0,9.0,1,7.5
2,HVAC,It's hot today and we're home as usual. What temperature should I set the AC to?,"Doylestown, PA",91,,,75,6.0,6.0,7.0,8.0,2,6.5
2,HVAC,It's hot today and we're home as usual. What temperature should I set the AC to?,"Doylestown, PA",91,,,79,4.0,4.0,6.0,8.0,3,5.0
3,HVAC,It's cold outside and we're home as usual. What should I set the heat to?,"Doylestown, PA",19,,,68,7.0,7.0,6.0,8.0,1,6.95
3,HVAC,It's cold outside and we're home as usual. What should I set the heat to?,"Doylestown, PA",19,,,71,6.0,6.0,8.0,9.0,2,6.85
3,HVAC,It's cold outside and we're home as usual. What should I set the heat to?,"Doylestown, PA",19,,,74,6.0,6.0,7.0,8.0,3,6.5
4,HVAC,Someone's home all day and it's hot outside. What should I set the AC to?,"Media, PA",87,,,75,6.0,6.0,7.0,8.0,2,6.5
4,HVAC,Someone's home all day and it's hot outside. What should I set the AC to?,"Media, PA",87,,,78,6.0,6.0,7.0,8.0,1,6.5
4,HVAC,Someone's home all day and it's hot outside. What should I set the AC to?,"Media, PA",87,,,81,3.0,3.0,2.0,4.0,3,2.9499999999999997
5,HVAC,Someone's home all day and it's cold. What heating temperature should I use?,"Media, PA",23,,,67,8.0,8.0,6.0,9.0,1,7.749999999999999
5,HVAC,Someone's home all day and it's cold. What heating temperature should I use?,"Media, PA",23,,,70,7.0,7.0,8.0,9.0,2,7.5
5,HVAC,Someone's home all day and it's cold. What heating temperature should I use?,"Media, PA",23,,,73,4.0,4.0,8.0,7.0,3,5.249999999999999
6,HVAC,We're all out for 8 hours in the heat. What AC setting makes sense?,"Allentown, PA",90,,,76,7.0,7.0,8.0,9.0,1,7.5
6,HVAC,We're all out for 8 hours in the heat. What AC setting makes sense?,"Allentown, PA",90,,,79,6.0,6.0,8.0,9.0,2,6.85
6,HVAC,We're all out for 8 hours in the heat. What AC setting makes sense?,"Allentown, PA",90,,,82,3.0,3.0,2.0,4.0,3,2.9499999999999997
7,HVAC,We're all out for 8 hours in cold weather. What heating temperature is best?,"Allentown, PA",21,,,66,4.0,4.0,8.0,7.0,1,5.249999999999999
7,HVAC,We're all out for 8 hours in cold weather. What heating temperature is best?,"Allentown, PA",21,,,69,2.0,2.0,8.0,3.0,3,3.3499999999999996
7,HVAC,We're all out for 8 hours in cold weather. What heating temperature is best?,"Allentown, PA",21,,,72,2.0,2.0,8.0,3.0,2,3.3499999999999996
8,HVAC,The house will be empty for 12 hours today. What AC temperature should I set?,"Harrisburg, PA",94,,,76,6.0,6.0,8.0,9.0,1,6.85
8,HVAC,The house will be empty for 12 hours today. What AC temperature should I set?,"Harrisburg, PA",94,,,79,3.0,3.0,8.0,7.0,2,4.6
8,HVAC,The house will be empty for 12 hours today. What AC temperature should I set?,"Harrisburg, PA",94,,,82,2.0,2.0,8.0,3.0,3,3.3499999999999996
9,HVAC,The house will be empty for 12 hours today. What heat setting should I use?,"Harrisburg, PA",17,,,66,3.0,3.0,8.0,7.0,1,4.6
9,HVAC,The house will be empty for 12 hours today. What heat setting should I use?,"Harrisburg, PA",17,,,69,2.0,2.0,8.0,3.0,3,3.3499999999999996
9,HVAC,The house will be empty for 12 hours today. What heat setting should I use?,"Harrisburg, PA",17,,,72,2.0,2.0,8.0,3.0,2,3.3499999999999996
10,HVAC,I'm working from home today and it's hot. What AC temperature should I use?,"Blue Bell, PA",88,,,73,6.0,6.0,8.0,9.0,2,6.85
10,HVAC,I'm working from home today and it's hot. What AC temperature should I use?,"Blue Bell, PA",88,,,76,6.0,6.0,8.0,9.0,1,6.85
10,HVAC,I'm working from home today and it's hot. What AC temperature should I use?,"Blue Bell, PA",88,,,79,2.0,2.0,1.0,1.0,3,1.6499999999999997
11,HVAC,I'm working from home and it's cold outside. What should I set the heat to?,"Blue Bell, PA",22,,,68,7.0,7.0,6.0,8.0,1,6.95
11,HVAC,I'm working from home and it's cold outside. What should I set the heat to?,"Blue Bell, PA",22,,,71,6.0,6.0,8.0,9.0,3,6.85
11,HVAC,I'm working from home and it's cold outside. What should I set the heat to?,"Blue Bell, PA",22,,,74,6.0,6.0,8.0,9.0,2,6.85
12,HVAC,The house will be empty for 4 hours today. What AC temperature should I set?,"York, PA",92,,,78,6.0,6.0,8.0,9.0,1,6.85
12,HVAC,The house will be empty for 4 hours today. What AC temperature should I set?,"York, PA",92,,,81,3.0,3.0,2.0,4.0,3,2.9499999999999997
12,HVAC,The house will be empty for 4 hours today. What AC temperature should I set?,"York, PA",92,,,84,2.0,2.0,8.0,3.0,2,3.3499999999999996
13,HVAC,The house will be empty for 4 hours today. What heat setting should I use?,"York, PA",20,,,65,3.0,3.0,8.0,7.0,3,4.6
13,HVAC,The house will be empty for 4 hours today. What heat setting should I use?,"York, PA",20,,,68,4.0,4.0,8.0,7.0,1,5.249999999999999
13,HVAC,The house will be empty for 4 hours today. What heat setting should I use?,"York, PA",20,,,71,3.0,3.0,8.0,7.0,2,4.6
14,HVAC,I'll be home all day working and it's hot outside. What AC temperature makes sense?,"Phoenixville, PA",89,,,76,7.0,7.0,8.0,9.0,1,7.5
14,HVAC,I'll be home all day working and it's hot outside. What AC temperature makes sense?,"Phoenixville, PA",89,,,79,3.0,3.0,2.0,2.0,2,2.6499999999999995
14,HVAC,I'll be home all day working and it's hot outside. What AC temperature makes sense?,"Phoenixville, PA",89,,,82,2.0,2.0,2.0,1.0,3,1.8499999999999996
15,HVAC,I'll be home all day and it's cold. What temperature should I set the thermostat to?,"Phoenixville, PA",24,,,66,8.0,8.0,4.0,6.0,2,6.899999999999999
15,HVAC,I'll be home all day and it's cold. What temperature should I set the thermostat to?,"Phoenixville, PA",24,,,69,7.0,7.0,8.0,9.0,1,7.5
15,HVAC,I'll be home all day and it's cold. What temperature should I set the thermostat to?,"Phoenixville, PA",24,,,72,2.0,2.0,8.0,6.0,3,3.8
16,HVAC,No one's home for 8 hours and it's hot. What should I set the AC to?,"Scranton, PA",84,,,75,6.0,6.0,8.0,9.0,1,6.85
16,HVAC,No one's home for 8 hours and it's hot. What should I set the AC to?,"Scranton, PA",84,,,78,3.0,3.0,8.0,7.0,3,4.6
16,HVAC,No one's home for 8 hours and it's hot. What should I set the AC to?,"Scranton, PA",84,,,81,4.0,4.0,8.0,7.0,2,5.249999999999999
17,HVAC,No one's home for 8 hours and it's cold. What should I set the heat to?,"Scranton, PA",16,,,66,4.0,4.0,8.0,7.0,1,5.249999999999999
