Question,Location,Square Footage,Insulation,Household Size,Utility Budget,Housing Type,Outdoor Temp,House Age,R-Value,HVAC Age,SEER,Occupancy context,Alternative 1,Alternative 2,Alternative 3
I'm working from home today with 1 person — what AC temperature should I set?,"Lancaster, PA",1050,Good,1,160,Apartment,92,27,22,20,13,occupied_all_day,72,76,80
I'm home all day with 2 people — what heat temperature should I set?,"Lancaster, PA",1150,Good,2,195,Apartment,20,27,23,20,13,occupied_all_day,68,71,74
I'm not going anywhere with 2 people — what AC temperature should I set?,"West Chester, PA",1600,Medium,2,255,Townhouse,90,37,14,30,11,occupied_all_day,77,80,83
I'm sticking around the house with 2 people — what heat temperature should I set?,"West Chester, PA",1600,Medium,2,270,Townhouse,22,37,15,30,11,occupied_all_day,65,68,71
I'm gone most of the day — what AC temperature should I set?,"State College, PA",1350,Good,1,155,Apartment,86,42,22,35,10,unoccupied_8hr,74,77,80
I'm planning to stay in all day with 1 person — what AC temperature should I set?,"Philadelphia, PA",900,Poor,1,190,Apartment,93,47,10,40,9,occupied_all_day,78,81,84
I'm around all day with 1 person — what heat temperature should I set?,"Philadelphia, PA",900,Poor,1,205,Apartment,24,47,8,40,9,occupied_all_day,64,67,70
I'm home for the day with 2 people — what AC temperature should I set?,"Bethlehem, PA",1400,Good,2,240,Rowhouse,89,23,21,23,13,occupied_all_day,76,79,82
I'm spending the day at home with 2 people — what heat temperature should I set?,"Bethlehem, PA",1400,Good,2,255,Rowhouse,26,23,22,23,13,occupied_all_day,67,70,73
I'm not planning to leave today with 2 people — what heat temperature should I set?,"Doylestown, PA",900,Good,2,160,Condo,19,17,23,12,16,occupied_all_day,68,71,74
I'm out of the house for a while — what AC temperature should I set?,"Allentown, PA",1250,Medium,1,175,Condo,90,5,16,5,16,unoccupied_8hr,76,79,82
I'm away most of today — what heat temperature should I set?,"Allentown, PA",1350,Medium,2,215,Condo,21,5,17,5,16,unoccupied_8hr,66,69,72
I'm out running errands all day — what AC temperature should I set?,"Harrisburg, PA",1050,Poor,5,295,Condo,94,1,11,1,18,unoccupied_12hr,76,79,82
I'm staying home today with 1 person — what AC temperature should I set?,"Blue Bell, PA",1250,Good,1,210,Condo,88,1,23,2,18,occupied_all_day,73,76,79
I'm popping out for a bit — what AC temperature should I set for the rowhouse?,"York, PA",1500,Poor,2,235,Rowhouse,92,4,12,4,17,unoccupied_4hr,78,81,84
I'm stepping out for a few hours — what heat temperature should I set for the rowhouse?,"York, PA",1650,Poor,2,255,Rowhouse,20,4,10,4,17,unoccupied_4hr,65,68,71
I'm leaving for work shortly — what AC temperature should I set?,"Scranton, PA",1650,Medium,2,245,Rowhouse,84,7,15,7,16,unoccupied_8hr,75,78,81
I'm not home today — what AC temperature should I set?,"Norristown, PA",1200,Poor,5,300,Apartment,91,9,11,9,15,unoccupied_8hr,78,81,84
I'm home and not going out with 5 people — what AC temperature should I set?,"Lower Merion, PA",1800,Good,5,325,Rowhouse,90,10,24,11,16,occupied_all_day,71,75,79
I'm heading out for a quick errand — what AC temperature should I set for the townhouse?,"King of Prussia, PA",2200,Medium,5,285,Townhouse,93,12,17,12,15,unoccupied_4hr,75,78,81
I'm out for a couple hours — what heat temperature should I set for the townhouse?,"King of Prussia, PA",2200,Medium,5,300,Townhouse,18,12,15,12,15,unoccupied_4hr,66,69,72
I'm staying put today with 2 people — what heat temperature should I set?,"Reading, PA",1600,Poor,2,265,Rowhouse,22,15,10,16,14,occupied_all_day,65,68,71
"With 5 people home, what AC temperature should I set?","Wilkes-Barre, PA",1950,Medium,5,360,Single-family,87,19,16,19,14,standard,75,78,81
"With 6 people home, what heat temperature should I set?","Wilkes-Barre, PA",1950,Medium,6,390,Single-family,19,19,17,19,14,standard,66,69,72
"With 2 people home, what AC temperature should I set?","Carlisle, PA",1650,Poor,2,240,Townhouse,90,21,11,25,12,standard,78,81,84
"With 2 people home, what heat temperature should I set?","Carlisle, PA",1650,Poor,2,255,Townhouse,23,21,9,25,12,standard,65,68,71
"With 3 people home, what AC temperature should I set?","Lebanon, PA",2350,Medium,3,320,Single-family,91,25,16,26,12,standard,76,79,82
"With 3 people home, what heat temperature should I set?","Lebanon, PA",2350,Medium,3,335,Single-family,21,25,14,26,12,standard,66,69,72
"With 5 people home, what AC temperature should I set?","Gettysburg, PA",1800,Good,5,360,Single-family,88,26,22,28,11,standard,74,77,80
"With 2 people home, what heat temperature should I set?","Altoona, PA",1550,Poor,2,215,Apartment,17,29,10,30,11,standard,66,69,72
We're heading to bed soon — what heat temperature should I set overnight?,"Stroudsburg, PA",2050,Medium,3,295,Single-family,21,102,14,95,8,overnight_sleep,66,69,72
I'm working from home today with 4 people — what AC temperature should I set?,"Hazleton, PA",2200,Poor,4,360,Single-family,98,40,9,35,9,occupied_all_day,78,80,82
"With 3 people home, what AC temperature should I set?","Monroeville, PA",2000,Medium,3,270,Condo,92,25,16,20,12,standard,76,78,80
I'm home all day with 5 people — what AC temperature should I set?,"New Castle, PA",2400,Poor,5,415,Single-family,97,35,9,30,10,occupied_all_day,79,81,83
I'm running out for a short while — what AC temperature should I set for the townhouse?,"Coatesville, PA",1850,Medium,3,240,Townhouse,91,20,17,18,13,unoccupied_4hr,77,79,81
"With 3 people home, what heat temperature should I set?","Indiana, PA",1900,Medium,3,235,Apartment,18,60,16,38,9,standard,65,68,71
"With 3 people home, what AC temperature should I set?","DuBois, PA",1950,Medium,3,305,Single-family,89,18,17,15,14,standard,76,77,78
I'm gone for a few hours — what AC temperature should I set for the townhouse?,"Oil City, PA",2100,Good,4,300,Townhouse,91,10,23,8,16,unoccupied_4hr,82,76,70
"With 3 people home, what heat temperature should I set?","Reading, PA",2000,Medium,3,340,Single-family,20,18,16,16,13,standard,65,72,79
I'm not going anywhere with 3 people — what AC temperature should I set?,"Carlisle, PA",2000,Poor,3,305,Single-family,102,28,9,25,11,occupied_all_day,78,80,82
We're just getting in for the night — what heat temperature should I set overnight?,"Quakertown, PA",1900,Good,3,280,Single-family,22,11,24,9,15,overnight_sleep,70,65,60
I'm out of the house all day — what AC temperature should I set?,"West Mifflin, PA",2300,Poor,4,360,Single-family,94,30,11,28,11,unoccupied_12hr,79,81,83
We're done for the day — what heat temperature should I set overnight?,"Wilkes-Barre, PA",1900,Good,2,290,Single-family,17,9,24,7,16,overnight_sleep,65,68,70
I'm popping out for a bit — what AC temperature should I set for the single-family?,"Levittown, PA",1700,Medium,3,330,Single-family,89,32,16,28,10,unoccupied_4hr,78,80,82
I'm away for the day — what heat temperature should I set?,"Stroudsburg, PA",3000,Poor,5,375,Single-family,15,28,9,25,11,unoccupied_12hr,60,63,67
"With 3 people home, what AC temperature should I set?","Allentown, PA",1900,Medium,3,290,Single-family,78,15,15,12,14,standard,73,76,79
"With 5 people home, what AC temperature should I set?","Harrisburg, PA",2500,Medium,5,360,Single-family,82,10,16,8,15,standard,74,78,80
