flip_full,flip_no_clip,flip_no_tank,flip_no_budget,flip_no_round,flip_linear_core,flip_comfort_flat,flip_prac_curve_flat,flip_comfort_and_prac_flat,cross_tank,cross_budget,cross_clip,any_clip_active,tank_hit_any_true,budget_active_any,model,run,scenario_id,true_gpm,extracted_gpm,rel_error,ref_margin,ah_top1_miss,ref_top1,cf_top1,mechanism
False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,deepseek,1,136,1.5,1.8,0.20000000000000004,0.030000000000000027,True,8,8,no_flip
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,deepseek,1,138,1.5,1.8,0.20000000000000004,0.02400000000000002,False,8,8,no_flip
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,deepseek,1,140,1.5,1.8,0.20000000000000004,0.035499999999999976,False,7,7,no_flip
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,deepseek,1,142,1.5,1.8,0.20000000000000004,0.012000000000000122,False,7,7,no_flip
True,True,True,True,True,True,False,False,False,True,False,True,True,True,False,deepseek,1,143,1.5,2.0,0.3333333333333333,0.02100000000000002,True,6,3,"tradeoff_rate (survives with clip, tank, budget, rounding all off)"
False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,deepseek,1,151,4.0,3.5,-0.125,0.0665,False,12,12,no_flip
False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,deepseek,1,152,2.0,1.5,-0.25,0.021500000000000075,False,8,8,no_flip
False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,deepseek,1,153,4.0,3.5,-0.125,0.19150000000000003,False,10,10,no_flip
False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,deepseek,1,156,3.0,2.5,-0.16666666666666666,0.18099999999999994,False,8,8,no_flip
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,deepseek,1,157,2.0,1.8,-0.09999999999999998,0.021500000000000075,False,8,8,no_flip
False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,deepseek,1,161,2.0,1.8,-0.09999999999999998,0.04799999999999982,False,3,3,no_flip
False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,deepseek,1,162,2.5,2.75,0.1,0.12350000000000005,False,4,4,no_flip
False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,deepseek,1,163,2.0,1.5,-0.25,0.1499999999999999,False,5,5,no_flip
False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,deepseek,1,165,2.0,1.8,-0.09999999999999998,0.08600000000000008,False,6,6,no_flip
False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,deepseek,1,166,2.0,1.8,-0.09999999999999998,0.012500000000000067,False,8,8,no_flip
False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,deepseek,1,168,2.0,1.8,-0.09999999999999998,0.01750000000000007,False,8,8,no_flip
False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,deepseek,1,172,3.0,2.5,-0.16666666666666666,0.06750000000000012,False,8,8,no_flip
False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,deepseek,1,174,2.0,1.8,-0.09999999999999998,0.03649999999999998,False,8,8,no_flip
True,True,True,True,True,True,False,False,False,False,False,False,False,True,False,deepseek,1,177,2.0,1.8,-0.09999999999999998,0.008499999999999952,True,5,8,"tradeoff_rate (survives with clip, tank, budget, rounding all off)"
False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,deepseek,1,180,3.0,2.75,-0.08333333333333333,0.11149999999999993,False,4,4,no_flip
