Decision Type,Question,Location,Square Footage,Insulation,Household Size,Utility Budget,Housing Type,Outdoor Temp,House Age,Appliance Age,Flow rate,Alternative 1,Alternative 2,Alternative 3
HVAC,It's hot today and we're home as usual. What temperature should I set the AC to?,"Doylestown, PA",2300,Good,4,$350 ,Single-family,91,15+ years,,,72F,75F,79F
HVAC,It's cold outside and we're home as usual. What should I set the heat to?,"Doylestown, PA",2300,Good,4,$350 ,Single-family,19,15+ years,,,68F,71F,74F
HVAC,Someone's home all day and it's hot outside. What should I set the AC to?,"Media, PA",1700,Medium,3,$240 ,Twin,87,10+ years,,,75F,78F,81F
HVAC,Someone's home all day and it's cold. What heating temperature should I use?,"Media, PA",1700,Medium,3,$240 ,Twin,23,10+ years,,,67F,70F,73F
HVAC,We're all out for 8 hours in the heat. What AC setting makes sense?,"Allentown, PA",1900,Medium,3,$280 ,Single-family,90,5 years,,,76F,79F,82F
HVAC,We're all out for 8 hours in cold weather. What heating temperature is best?,"Allentown, PA",1900,Medium,3,$280 ,Single-family,21,5 years,,,66F,69F,72F
HVAC,The house will be empty for 12 hours today. What AC temperature should I set?,"Harrisburg, PA",2600,Poor,5,$320 ,Single-family,94,0–1 years,,,76F,79F,82F
HVAC,The house will be empty for 12 hours today. What heat setting should I use?,"Harrisburg, PA",2600,Poor,5,$320 ,Single-family,17,0–1 years,,,66F,69F,72F
HVAC,I'm working from home today and it's hot. What AC temperature should I use?,"Blue Bell, PA",2800,Good,4,$450 ,Single-family,88,0–2 years,,,73F,76F,79F
HVAC,I'm working from home and it's cold outside. What should I set the heat to?,"Blue Bell, PA",2800,Good,4,$450 ,Single-family,22,0–2 years,,,68F,71F,74F
HVAC,The house will be empty for 4 hours today. What AC temperature should I set?,"York, PA",1500,Poor,2,$180 ,Single-family,92,3–4 years,,,78F,81F,84F
HVAC,The house will be empty for 4 hours today. What heat setting should I use?,"York, PA",1500,Poor,2,$180 ,Single-family,20,3–4 years,,,65F,68F,71F
HVAC,I'll be home all day working and it's hot outside. What AC temperature makes sense?,"Phoenixville, PA",2000,Medium,3,$260 ,Single-family,89,4–5 years,,,76F,79F,82F
HVAC,I'll be home all day and it's cold. What temperature should I set the thermostat to?,"Phoenixville, PA",2000,Medium,3,$260 ,Single-family,24,4–5 years,,,66F,69F,72F
HVAC,No one's home for 8 hours and it's hot. What should I set the AC to?,"Scranton, PA",1750,Medium,2,$210 ,Single-family,84,6–7 years,,,75F,78F,81F
HVAC,No one's home for 8 hours and it's cold. What should I set the heat to?,"Scranton, PA",1750,Medium,2,$210 ,Single-family,16,6–7 years,,,66F,69F,72F
HVAC,We're all out for 8 hours in the heat. What AC setting makes sense?,"Norristown, PA",1200,Poor,3,$170 ,Apartment,91,8–9 years,,,78F,81F,84F
HVAC,We're all out for 8 hours in cold weather. What heating temperature is best?,"Norristown, PA",1200,Poor,3,$170 ,Apartment,19,8–9 years,,,65F,68F,71F
HVAC,It's hot today and we're home as usual. What temperature should I set the AC to?,"Lower Merion, PA",3000,Good,4,$600 ,Single-family,90,9–12 years,,,71F,75F,79F
HVAC,It's cold outside and we're home as usual. What should I set the heat to?,"Lower Merion, PA",3000,Good,4,$600 ,Single-family,23,9–12 years,,,68F,71F,74F
HVAC,The house is unoccupied for 4 hours today. What's the best AC temperature?,"King of Prussia, PA",2200,Medium,5,$400 ,Townhouse,93,11–13 years,,,75F,78F,81F
HVAC,The house is unoccupied for 4 hours. What should I set the thermostat to?,"King of Prussia, PA",2200,Medium,5,$400 ,Townhouse,18,11–13 years,,,66F,69F,72F
HVAC,It's hot today and we're home as usual. What temperature should I set the AC to?,"Pottstown, PA",1850,Medium,3,$230 ,Single-family,88,12–15 years,,,78,81,84
HVAC,It's cold outside and we're home as usual. What should I set the heat to?,"Pottstown, PA",1850,Medium,3,$230 ,Single-family,21,12–15 years,,,65,68,71
HVAC,It's hot today and everyone's home. What temperature makes sense for the AC?,"Exton, PA",2400,Good,4,$380 ,Single-family,91,13–15 years,,,72,75,78
HVAC,It's cold today and everyone's home. What heating temperature should I use?,"Exton, PA",2400,Good,4,$380 ,Single-family,20,13–15 years,,,69,72,75
HVAC,"With 2 people home on a hot day, what's the best AC setting?","Reading, PA",1600,Poor,2,$190 ,Rowhouse,92,14–17 years,,,76,79,82
HVAC,Cold day today with 2 people home. What's a good heating temperature?,"Reading, PA",1600,Poor,2,$190 ,Rowhouse,22,14–17 years,,,67,70,73
HVAC,It's a hot day. What should I set my air conditioning to?,"Newtown, PA",2100,Good,3,$340 ,Single-family,89,16–18 years,,,79,82,85
HVAC,It's a cold day. What should I set the thermostat to?,"Newtown, PA",2100,Good,3,$340 ,Single-family,24,16–18 years,,,64,67,70
HVAC,It's hot today and we're home as usual. What temperature should I set the AC to?,"Wilkes-Barre, PA",1950,Medium,4,$270 ,Single-family,87,18–20 years,,,73,76,79
HVAC,It's cold outside and we're home as usual. What should I set the heat to?,"Wilkes-Barre, PA",1950,Medium,4,$270 ,Single-family,19,18–20 years,,,69,72,75
HVAC,"With 2 people home on a hot day, what's the best AC setting?","Carlisle, PA",1650,Poor,2,$195 ,Townhouse,90,20–29 years,,,75,78,81
HVAC,Cold day today with 2 people home. What's a good heating temperature?,"Carlisle, PA",1650,Poor,2,$195 ,Townhouse,23,20–29 years,,,67,70,73
HVAC,It's hot today and everyone's home. What temperature makes sense for the AC?,"Lebanon, PA",2350,Medium,3,$310 ,Single-family,91,24–28 years,,,77,80,83
HVAC,It's cold today and everyone's home. What heating temperature should I use?,"Lebanon, PA",2350,Medium,3,$310 ,Single-family,21,24–28 years,,,66,69,72
HVAC,It's a hot day. What should I set my air conditioning to?,"Gettysburg, PA",1800,Good,5,$380 ,Single-family,88,25–30 years,,,74,77,80
HVAC,It's a cold day. What should I set the thermostat to?,"Gettysburg, PA",1800,Good,5,$380 ,Single-family,20,25–30 years,,,68,71,74
HVAC,What temperature should I set the AC to overnight?,"Chambersburg, PA",2450,Medium,4,$340 ,Single-family,92,27–31 years,,,78,81,84
HVAC,What temperature should I set the heat to overnight?,"Chambersburg, PA",2450,Medium,4,$340 ,Single-family,18,27–31 years,,,68,65,62
HVAC,It's hot today and everyone's home. What temperature makes sense for the AC?,"Altoona, PA",1550,Poor,2,$175 ,Apartment,85,28–32 years,,,76F,79F,82F
HVAC,It's cold today and everyone's home. What heating temperature should I use?,"Altoona, PA",1550,Poor,2,$175 ,Apartment,17,28–32 years,,,66F,69F,72F
HVAC,I'm setting the thermostat for bedtime. What AC temperature is best for sleeping?,"Stroudsburg, PA",2050,Medium,3,$270 ,Single-family,89,21–25 years,,,76F,79F,82F
HVAC,I'm setting the thermostat for bedtime. What heating temperature is best for sleeping?,"Stroudsburg, PA",2050,Medium,3,$270 ,Single-family,21,35-45,,,66F,69F,72F
HVAC,"With people home all day in the heat, what's the best AC setting?","Hazleton, PA",2200,Poor,4,$180 ,Single-family,98,22-28,,,78,80,82
HVAC,It's hot today and we're home as usual. What temperature should I set the AC to?,"Monroeville, PA",2000,Medium,3,$250 ,Condo,92,30-40,,,76,78,80
HVAC,I'll be home all day working and it's hot outside. What AC temperature makes sense?,"New Castle, PA",2400,Poor,5,$150 ,Single-family,97, 1-5,,,79,81,83
HVAC,It's hot today and we're home as usual. What temperature should I set the AC to?,"Butler, PA",2500,Good,4,$600 ,Single-family,88,15-25,,,72,75,78
HVAC,The house will be empty for 4 hours today. What AC temperature should I set?,"Coatesville, PA",1850,Medium,3,$200 ,Townhouse,91,45-65,,,77,79,81
HVAC,It's a hot day. What should I set my air conditioning to?,"Uniontown, PA",2100,Poor,4,$280 ,Single-family,95,50-70,,,78,80,82
HVAC,Cold day today with 3 people home. What's a good heating temperature?,"Indiana, PA",1900,Medium,3,$250 ,Apartment,18, 1-3,,,65,68,71
HVAC,It's a hot day. What should I set my air conditioning to?,"Meadville, PA",2200,Good,4,$400 ,Single-family,90,40-50,,,73,76,79
HVAC,I'll be home all day working and it's hot outside. What AC temperature makes sense?,"Greensburg, PA",1800,Poor,2,$170 ,Single-family,93,15-22,,,79,81,83
HVAC,It's a hot day. What should I set my air conditioning to?,"DuBois, PA",1950,Medium,3,$260 ,Single-family,89, 25-35,,,76,77,78
HVAC,The house will be empty for 4 hours today. What AC temperature should I set?,"Oil City, PA",2100,Good,4,$320 ,Townhouse,91,15-22,,,82,76,70
HVAC,Cold day today with 3 people home. What's a good heating temperature?,"Reading, PA",2000,Medium,3,$290 ,Single-family,20,25-35,,,65,72,79
HVAC,Someone's home all day and it's hot outside. What should I set the AC to?,"Carlisle, PA",2000,Poor,3,$300 ,Single-family,102,33-43,,,78,80,82
HVAC,Cold day today with 4 people home. What's a good heating temperature?,"Chambersburg, PA",2200,Poor,4,$280 ,Single-family,5, 10-15,,,66,69,72
Appliance,I have time to do laundry this afternoon (around 4 PM). When should I start?,"Carlisle, PA",,,3,$225.00 ,Townhouse,,,10-Apr,,Dry at 2pm,Dry at 8pm,Dry at 11pm
Appliance,Thinking of washing clothes around 5 PM. Good timing?,"Lebanon, PA",,,3,$270.00 ,Single-family,,,3-Jan,,Dry at 3pm,Dry at 7pm,Dry at 10pm
Appliance,It's late (around 7 PM) but I need to wash clothes. Should I do it now?,"Gettysburg, PA",,,2,$175.00 ,Apartment,,,22-Feb,,Dry at 1pm,Dry at 6pm,Dry at 11pm
Appliance,I want to run a load of laundry around 5 PM. When's the best time?,"Chambersburg, PA",,,2,$210.00 ,Townhouse,,,12-Feb,,Dry at 2pm,Dry at 8pm,Dry at 1am
Appliance,Planning to run the washing machine around 9 PM. Is that okay or should I wait?,"Altoona, PA",,,4,$320.00 ,Single-family,,,0-8,,Dry at 3pm,Dry at 7pm,Dry at 10pm
Appliance,My laundry is ready to dry (around 2 PM). Should I run the dryer now or wait?,"Hazleton, PA",,,3,$285.00 ,Single-family,,,0-7,,Dry at 2pm,Dry at 8pm,Dry at 11pm
Appliance,Planning to run the dryer around 2 PM. Is that a good time?,"Monroeville, PA",,,3,$245.00 ,Townhouse,,,12-Feb,,Dry at 1pm,Dry at 7pm,Dry at 10pm
Appliance,I'm ready to dry clothes (around 1 AM). When should I start the dryer?,"New Castle, PA",,,2,$190.00 ,Apartment,,,22-Feb,,Dry at 2pm,Dry at 6pm,Dry at 12am
Appliance,I'm ready to dry clothes (around 8 PM). When should I start the dryer?,"Butler, PA",,,3,$300.00 ,Single-family,,,3-Jan,,Dry at 3pm,Dry at 7pm,Dry at 10pm
Appliance,Planning to run the dryer around 1 AM. Is that the best time?,"Coatesville, PA",,,4,$350.00 ,Single-family,,,0-6,,Dry at 2pm,Dry at 8pm,Dry at 11pm
Appliance,It's late (around midnight) and I need to dry laundry. Should I start now or delay?,Harrisburg PA,,,4,$280.00 ,Single-family,,,0-6,,Run at 11pm,Run at 1am,Run at 6am
Appliance,I'm ready to dry clothes (around midnight). When should I start the dryer?,Pittsburgh PA,,,3,$195.00 ,Townhouse,,,13-Mar,,Wash at 6am,Wash at 10pm,Wash at 2am
Appliance,My laundry is ready to dry (around 4 PM). Should I run the dryer now or wait?,Lancaster PA,,,2,$220.00 ,Apartment,,,22-Feb,,Dry at 9pm,Dry at 11pm,Dry at 7am
Appliance,Planning to run the dryer around 3 PM. Is that a good time?,Philadelphia PA,,,1,$160.00 ,Apartment,,,25-May,,Run at 8pm,Run at 10am,Run at 2pm
Appliance,I need to dry clothes this afternoon (around 2 PM). When should I start?,State College PA,,,5,$240.00 ,Single-family,,,0-10,,Wash at 9am,Wash at 1pm,Wash at 9pm
Appliance,When should I do dishes today?,"York, PA",,,3,$195.00 ,Townhouse,,,11-Jan,,Run at 7pm,Run at 10pm,Run at 1am
Appliance,When should I do dishes today?,"Williamsport, PA",,,4,$265.00 ,Single-family,,,0-7,,Run at 8pm,Run at 11pm,Run at 2am
Appliance,When should I do dishes today?,"McKeesport, PA",,,2,$340.00 ,Apartment,,,15-May,,Run at 7pm,Run at 10pm,Run at 12am
Appliance,When should I do laundry today?,"Altoona, PA",,,2,$210.00 ,Apartment,,,0-5,,Run at 7am,Run at 10am,Run at 1pm
