scenario_id,question,location,square_footage,insulation,household_size,utility_budget,housing_type,outdoor_temp,house_age,alternative,energy_cost_score,environmental_score,comfort_score,practicality_score,mavt_score,rank,raw_kwh,raw_cost,raw_emissions
0,The house will be empty for 8 hours today. What AC temperature should I set?,"Chester Springs, PA",1800,Poor,3,$200 ,Condo,88,22,78,5.05,5.21,8.6,9.63,6.503,2,9.55,1.81,9.94
0,The house will be empty for 8 hours today. What AC temperature should I set?,"Chester Springs, PA",1800,Poor,3,$200 ,Condo,88,22,80,5.63,5.58,7.0,10.0,6.542,1,9.0,1.71,9.37
0,The house will be empty for 8 hours today. What AC temperature should I set?,"Chester Springs, PA",1800,Poor,3,$200 ,Condo,88,22,83,6.18,6.12,4.06,8.86,6.137,3,8.18,1.55,8.52
1,The house will be empty for 8 hours today. What heat setting should I use?,"Chester Springs, PA",1800,Poor,3,$200 ,Condo,25,22,65,6.22,6.16,6.11,7.6,6.3839999999999995,2,8.12,1.54,8.45
1,The house will be empty for 8 hours today. What heat setting should I use?,"Chester Springs, PA",1800,Poor,3,$200 ,Condo,25,22,68,5.67,5.62,8.6,7.6,6.528,1,8.94,1.7,9.31
1,The house will be empty for 8 hours today. What heat setting should I use?,"Chester Springs, PA",1800,Poor,3,$200 ,Condo,25,22,71,4.69,5.08,9.32,7.6,6.188999999999999,3,9.76,1.85,10.16
4,The house will be empty for 4 hours today. What AC temperature should I set?,"Pittsburgh, PA",2000,Medium,2,$250 ,Single-family,85,32,75,4.19,4.15,9.32,9.63,6.018000000000001,3,11.16,2.12,11.62
4,The house will be empty for 4 hours today. What AC temperature should I set?,"Pittsburgh, PA",2000,Medium,2,$250 ,Single-family,85,32,78,4.8,4.75,8.6,10.0,6.3225,1,10.25,1.95,10.67
4,The house will be empty for 4 hours today. What AC temperature should I set?,"Pittsburgh, PA",2000,Medium,2,$250 ,Single-family,85,32,81,5.41,5.36,6.11,10.0,6.221,2,9.33,1.77,9.71
5,The house will be empty for 4 hours today. What heat setting should I use?,"Pittsburgh, PA",2000,Medium,2,$250 ,Single-family,28,32,66,5.91,5.85,7.0,7.6,6.3605,2,8.59,1.63,8.94
5,The house will be empty for 4 hours today. What heat setting should I use?,"Pittsburgh, PA",2000,Medium,2,$250 ,Single-family,28,32,69,5.3,5.25,9.32,7.6,6.4315,1,9.5,1.81,9.89
5,The house will be empty for 4 hours today. What heat setting should I use?,"Pittsburgh, PA",2000,Medium,2,$250 ,Single-family,28,32,72,4.68,4.64,8.6,7.6,5.887999999999999,3,10.42,1.98,10.85
6,Someone's home all day and it's hot outside. What should I set the AC to?,"West Chester, PA",1600,Medium,2,$220 ,Townhouse,90,37,77,2.48,3.79,9.32,9.63,5.379,2,11.95,2.27,12.18
6,Someone's home all day and it's hot outside. What should I set the AC to?,"West Chester, PA",1600,Medium,2,$220 ,Townhouse,90,37,80,3.61,4.36,7.0,9.63,5.4535,1,11.07,2.1,11.28
6,Someone's home all day and it's hot outside. What should I set the AC to?,"West Chester, PA",1600,Medium,2,$220 ,Townhouse,90,37,83,4.84,4.94,4.06,8.86,5.322,3,10.18,1.93,10.38
7,Someone's home all day and it's cold. What heating temperature should I use?,"West Chester, PA",1600,Medium,2,$220 ,Townhouse,22,37,65,5.36,5.44,6.11,7.6,5.874,2,9.41,1.79,9.59
7,Someone's home all day and it's cold. What heating temperature should I use?,"West Chester, PA",1600,Medium,2,$220 ,Townhouse,22,37,68,4.77,4.87,8.6,7.6,5.995499999999999,1,10.29,1.96,10.49
7,Someone's home all day and it's cold. What heating temperature should I use?,"West Chester, PA",1600,Medium,2,$220 ,Townhouse,22,37,71,3.46,4.29,9.32,7.6,5.5435,3,11.17,2.12,11.39
8,The house is unoccupied for 8 hours today. What's the best AC temperature?,"State College, PA",2100,Good,3,$300 ,Single-family,86,42,74,2.87,2.84,8.6,9.63,5.019500000000001,3,13.13,2.5,13.67
8,The house is unoccupied for 8 hours today. What's the best AC temperature?,"State College, PA",2100,Good,3,$300 ,Single-family,86,42,77,3.42,3.39,9.32,10.0,5.5765,1,12.3,2.34,12.81
8,The house is unoccupied for 8 hours today. What's the best AC temperature?,"State College, PA",2100,Good,3,$300 ,Single-family,86,42,80,3.98,3.94,7.0,10.0,5.473,2,11.47,2.18,11.94
9,The house is unoccupied for 8 hours. What should I set the thermostat to?,"State College, PA",2100,Good,3,$300 ,Single-family,18,42,66,5.35,5.29,7.0,7.6,5.996499999999999,2,9.43,1.79,9.82
9,The house is unoccupied for 8 hours. What should I set the thermostat to?,"State College, PA",2100,Good,3,$300 ,Single-family,18,42,69,4.79,4.74,9.32,7.6,6.1,1,10.26,1.95,10.68
9,The house is unoccupied for 8 hours. What should I set the thermostat to?,"State College, PA",2100,Good,3,$300 ,Single-family,18,42,72,4.23,4.19,8.6,7.6,5.5954999999999995,3,11.09,2.11,11.55
10,"With 1 people home on a hot day, what's the best AC setting?","Philadelphia, PA",900,Poor,1,$150 ,Apartment,93,47,78,1.91,5.27,8.6,9.63,5.581999999999999,1,9.67,1.84,9.85
10,"With 1 people home on a hot day, what's the best AC setting?","Philadelphia, PA",900,Poor,1,$150 ,Apartment,93,47,81,2.65,5.73,6.11,9.63,5.4670000000000005,2,8.96,1.7,9.13
10,"With 1 people home on a hot day, what's the best AC setting?","Philadelphia, PA",900,Poor,1,$150 ,Apartment,93,47,84,3.97,6.19,2.86,7.6,5.0695,3,8.25,1.57,8.41
11,Cold day today with 1 people home. What's a good heating temperature?,"Philadelphia, PA",900,Poor,1,$150 ,Apartment,24,47,64,7.14,7.17,5.13,7.6,6.817499999999999,1,6.74,1.28,6.87
11,Cold day today with 1 people home. What's a good heating temperature?,"Philadelphia, PA",900,Poor,1,$150 ,Apartment,24,47,67,5.85,6.71,7.83,7.6,6.8095,2,7.45,1.42,7.59
11,Cold day today with 1 people home. What's a good heating temperature?,"Philadelphia, PA",900,Poor,1,$150 ,Apartment,24,47,70,4.19,6.25,10.0,7.6,6.584499999999999,3,8.16,1.55,8.31
12,The house is unoccupied for 4 hours today. What's the best AC temperature?,"Erie, PA",1800,Medium,4,$260 ,Single-family,82,21,74,5.28,5.23,8.46,10.0,6.6065000000000005,3,9.53,1.81,9.92
12,The house is unoccupied for 4 hours today. What's the best AC temperature?,"Erie, PA",1800,Medium,4,$260 ,Single-family,82,21,77,5.79,5.73,9.25,10.0,7.092499999999999,1,8.77,1.67,9.13
12,The house is unoccupied for 4 hours today. What's the best AC temperature?,"Erie, PA",1800,Medium,4,$260 ,Single-family,82,21,80,6.3,6.24,6.65,10.0,6.904,2,8.0,1.52,8.33
13,The house is unoccupied for 4 hours. What should I set the thermostat to?,"Erie, PA",1800,Medium,4,$260 ,Single-family,15,21,66,5.16,5.11,6.65,7.6,5.8065,2,9.71,1.84,10.1
13,The house is unoccupied for 4 hours. What should I set the thermostat to?,"Erie, PA",1800,Medium,4,$260 ,Single-family,15,21,69,4.65,4.61,9.25,7.6,5.998499999999999,1,10.47,1.99,10.9
13,The house is unoccupied for 4 hours. What should I set the thermostat to?,"Erie, PA",1800,Medium,4,$260 ,Single-family,15,21,72,4.14,4.1,8.46,7.6,5.5089999999999995,3,11.23,2.13,11.69
14,"With 2 people home on a hot day, what's the best AC setting?","Bethlehem, PA",1400,Good,2,$200 ,Rowhouse,89,23,76,6.07,6.13,10.0,9.63,7.411,1,8.34,1.58,8.5
14,"With 2 people home on a hot day, what's the best AC setting?","Bethlehem, PA",1400,Good,2,$200 ,Rowhouse,89,23,79,6.41,6.46,7.83,9.63,7.1945,2,7.84,1.49,7.99
