scenario_id,question,location,decision_type,outdoor_temp,appliance_age,flow_rate,alternative,energy_cost,environmental,comfort,practicality,rank,weighted_score
1,Cold day today with 2 people home. What's a good heating temperature?,"Bethlehem, PA",HVAC,26,,,67,5.0,5.0,8.6,9.6,2,6.41
1,Cold day today with 2 people home. What's a good heating temperature?,"Bethlehem, PA",HVAC,26,,,70,5.0,5.0,8.6,9.6,3,6.41
1,Cold day today with 2 people home. What's a good heating temperature?,"Bethlehem, PA",HVAC,26,,,73,6.5,6.5,8.6,9.6,1,7.385
2,It's hot today and we're home as usual. What temperature should I set the AC to?,"Doylestown, PA",HVAC,91,,,72,4.1,4.1,10.0,9.6,2,6.104999999999999
2,It's hot today and we're home as usual. What temperature should I set the AC to?,"Doylestown, PA",HVAC,91,,,75,4.6,4.6,9.3,9.6,1,6.289999999999999
2,It's hot today and we're home as usual. What temperature should I set the AC to?,"Doylestown, PA",HVAC,91,,,79,5.1,5.1,5.7,9.6,3,5.895
3,It's cold outside and we're home as usual. What should I set the heat to?,"Doylestown, PA",HVAC,19,,,68,8.3,8.3,8.6,7.3,1,8.21
3,It's cold outside and we're home as usual. What should I set the heat to?,"Doylestown, PA",HVAC,19,,,71,7.8,7.8,9.5,7.3,3,8.065000000000001
3,It's cold outside and we're home as usual. What should I set the heat to?,"Doylestown, PA",HVAC,19,,,74,7.8,7.8,9.8,7.3,2,8.125
4,Someone's home all day and it's hot outside. What should I set the AC to?,"Media, PA",HVAC,87,,,75,5.5,5.5,8.5,9.5,1,6.7
4,Someone's home all day and it's hot outside. What should I set the AC to?,"Media, PA",HVAC,87,,,78,4.8,4.8,8.6,9.6,3,6.279999999999999
4,Someone's home all day and it's hot outside. What should I set the AC to?,"Media, PA",HVAC,87,,,81,5.4,5.4,7.8,10.0,2,6.57
5,Someone's home all day and it's cold. What heating temperature should I use?,"Media, PA",HVAC,23,,,67,4.5,4.5,9.3,7.3,1,5.88
5,Someone's home all day and it's cold. What heating temperature should I use?,"Media, PA",HVAC,23,,,70,4.2,4.2,8.6,7.3,3,5.545
5,Someone's home all day and it's cold. What heating temperature should I use?,"Media, PA",HVAC,23,,,73,4.5,4.5,8.6,7.3,2,5.739999999999999
6,We're all out for 8 hours in the heat. What AC setting makes sense?,"Allentown, PA",HVAC,90,,,76,5.5,5.5,8.0,9.5,1,6.6
6,We're all out for 8 hours in the heat. What AC setting makes sense?,"Allentown, PA",HVAC,90,,,79,4.7,4.7,7.4,9.6,2,5.975
6,We're all out for 8 hours in the heat. What AC setting makes sense?,"Allentown, PA",HVAC,90,,,82,4.7,4.7,7.5,9.3,3,5.949999999999999
7,We're all out for 8 hours in cold weather. What heating temperature is best?,"Allentown, PA",HVAC,21,,,66,7.6,7.6,5.1,7.3,1,7.054999999999999
7,We're all out for 8 hours in cold weather. What heating temperature is best?,"Allentown, PA",HVAC,21,,,69,6.0,6.0,5.0,9.0,3,6.249999999999999
7,We're all out for 8 hours in cold weather. What heating temperature is best?,"Allentown, PA",HVAC,21,,,72,6.0,6.0,7.5,8.0,2,6.6
8,The house will be empty for 12 hours today. What AC temperature should I set?,"Harrisburg, PA",HVAC,94,,,76,3.0,3.0,8.0,9.6,1,4.99
8,The house will be empty for 12 hours today. What AC temperature should I set?,"Harrisburg, PA",HVAC,94,,,79,2.0,2.0,7.6,9.6,2,4.26
8,The house will be empty for 12 hours today. What AC temperature should I set?,"Harrisburg, PA",HVAC,94,,,82,2.5,2.5,3.6,9.6,3,3.785
9,The house will be empty for 12 hours today. What heat setting should I use?,"Harrisburg, PA",HVAC,17,,,66,0.0,0.0,0.0,7.3,1,1.095
9,The house will be empty for 12 hours today. What heat setting should I use?,"Harrisburg, PA",HVAC,17,,,69,0.0,0.0,0.0,7.3,2,1.095
9,The house will be empty for 12 hours today. What heat setting should I use?,"Harrisburg, PA",HVAC,17,,,72,0.0,0.0,0.0,7.3,3,1.095
10,I'm working from home today and it's hot. What AC temperature should I use?,"Blue Bell, PA",HVAC,88,,,73,8.2,8.2,7.8,9.6,2,8.329999999999998
