scenario_id,question,location,decision_type,outdoor_temp,appliance_age,flow_rate,alternative,energy_cost,environmental,comfort,practicality,rank,weighted_score
1,Cold day today with 2 people home. What's a good heating temperature?,"Bethlehem, PA",HVAC,26,,,67,5.8,5.8,6.2,7.3,1,6.1049999999999995
1,Cold day today with 2 people home. What's a good heating temperature?,"Bethlehem, PA",HVAC,26,,,70,4.8,4.8,9.1,7.3,2,6.035
1,Cold day today with 2 people home. What's a good heating temperature?,"Bethlehem, PA",HVAC,26,,,73,4.3,4.3,9.6,7.3,3,5.81
2,It's hot today and we're home as usual. What temperature should I set the AC to?,"Doylestown, PA",HVAC,91,,,72,2.8,2.8,8.5,8.0,3,4.72
2,It's hot today and we're home as usual. What temperature should I set the AC to?,"Doylestown, PA",HVAC,91,,,75,4.8,4.8,9.8,9.6,1,6.52
2,It's hot today and we're home as usual. What temperature should I set the AC to?,"Doylestown, PA",HVAC,91,,,79,5.2,5.2,6.8,9.6,2,6.18
3,It's cold outside and we're home as usual. What should I set the heat to?,"Doylestown, PA",HVAC,19,,,68,6.8,6.8,8.9,7.3,1,7.295
3,It's cold outside and we're home as usual. What should I set the heat to?,"Doylestown, PA",HVAC,19,,,71,3.8,3.8,9.1,7.3,2,5.385
3,It's cold outside and we're home as usual. What should I set the heat to?,"Doylestown, PA",HVAC,19,,,74,2.8,2.8,9.8,7.3,3,4.875
4,Someone's home all day and it's hot outside. What should I set the AC to?,"Media, PA",HVAC,87,,,75,4.2,4.2,9.8,9.8,2,6.16
4,Someone's home all day and it's hot outside. What should I set the AC to?,"Media, PA",HVAC,87,,,78,5.1,5.1,8.8,9.8,1,6.544999999999999
4,Someone's home all day and it's hot outside. What should I set the AC to?,"Media, PA",HVAC,87,,,81,5.8,5.8,4.2,8.5,3,5.885
5,Someone's home all day and it's cold. What heating temperature should I use?,"Media, PA",HVAC,23,,,67,4.2,4.2,3.8,6.5,3,4.465
5,Someone's home all day and it's cold. What heating temperature should I use?,"Media, PA",HVAC,23,,,70,3.2,3.2,9.8,8.5,1,5.3149999999999995
5,Someone's home all day and it's cold. What heating temperature should I use?,"Media, PA",HVAC,23,,,73,3.2,3.2,9.8,8.5,2,5.3149999999999995
6,We're all out for 8 hours in the heat. What AC setting makes sense?,"Allentown, PA",HVAC,90,,,76,4.2,4.2,9.1,9.2,2,5.93
6,We're all out for 8 hours in the heat. What AC setting makes sense?,"Allentown, PA",HVAC,90,,,79,4.8,4.8,7.8,9.8,1,6.1499999999999995
6,We're all out for 8 hours in the heat. What AC setting makes sense?,"Allentown, PA",HVAC,90,,,82,5.2,5.2,4.1,9.2,3,5.58
7,We're all out for 8 hours in cold weather. What heating temperature is best?,"Allentown, PA",HVAC,21,,,66,6.2,6.2,4.8,7.5,2,6.114999999999999
