file,label,kind,start,end,n_numbers,n_refs,producer,artifact,caption
main,fig:full-flow-mcda,figure,308,313,0,1,UNKNOWN,paper/Images/FULLFlowMCDA.png,RAG and test scenarios do not overlap.
main,tab:parameter_comparison,table,324,402,1,3,UNKNOWN,UNKNOWN,Scenario parameters available to LLM architectures vs.\ ground-truth calculators.
main,tab:item3,table*,435,455,21,1,UNKNOWN,UNKNOWN,MAVT criterion specification.
main,table:reference_ranges,table,496,514,171,3,UNKNOWN,UNKNOWN,Reference ranges (5th--95th percentiles). Shower Environmental Impact is reported in gallons of water; HVAC and Appliance in lbs CO\textsubscript{2}.
main,fig:pipeline,figure,730,735,57,1,UNKNOWN,paper/Images/ArchitectureFlowcharts.png,Processing pipeline for each architecture.
main,tab:failure-modes,table*,843,865,138,1,UNKNOWN,UNKNOWN,Failure modes and their trigger conditions.
main,fig:grouped_bars,figure,880,971,72,1,UNKNOWN,paper/per_run_metrics/per_run_metrics_all.csv,"Overall performance by model (5-run mean $\pm$ std, 195 scenarios). Error bars show standard deviation (std) across five runs."
main,tab:incremental-contribution,table*,992,1018,24,3,paper_pipeline/generate_paper_results_numbers.py,paper/numbers_master.csv,"Top-1 accuracy and Kendall's~$\tau$ for each system. The LLM rows are per-type arithmetic means; the two non-LLM baseline rows are pooled over all 195 scenarios, which moves FixedD"
main,fig:mae_criterion,figure*,1028,1033,74,2,paper_pipeline/generate_paper_figures.py,paper/per_run_metrics/per_run_metrics_<model>.csv,"MAE by criterion and model. Each line is one model; the x-axis is architecture ($\mathcal{A}_{\text{D}}$, $\mathcal{A}_{\text{E}}$, $\mathcal{A}_{\text{H}}$)."
main,tab:score_duplication,table*,1043,1075,56,1,paper_pipeline/duplication_rate_analysis.py,Analysis/duplication_rates_all_runs.xlsx,"Share of scored alternatives in which the architecture assigned identical energy-cost and environmental scores, by decision type."
main,tab:extraction_accuracy,table*,1081,1109,56,3,Miscellaneous Scripts/evaluate_parameter_extraction.py,UNKNOWN,Per-parameter extraction error and the probability that an extraction error changes the top-ranked alternative.
main,tab:item7,table*,1134,1163,37,1,paper_pipeline/generate_paper_results_numbers.py,paper/numbers_master.csv,"5-run per-run-then-average, showing best and worst model per cell (G = Gemini, D = DeepSeek, O = GPT-OSS, Q = Qwen). Per-model results by decision type appear in ~\ref{app:per_mode"
main,fig:alpha_sweep,figure,1181,1186,1,1,Miscellaneous Scripts/SensitivityAnalysis.py,Analysis/Sensitivity_alpha_sweep_gemini.xlsx,"Kendall's $\tau$ across the value-function curvature sweep ($\alpha \in \{1.0, 1.2, 1.5, 2.0\}$), Gemini only."
main,fig:rag_ablation,figure*,1193,1198,45,2,Miscellaneous Scripts/run_rag_ablation_experiments.py,Analysis/RAG_Ablation/rag_ablation_summary.xlsx,RAG ablation results: Kendall's $\tau$ by configuration and model on the full 90-scenario RAG corpus. Configurations are ordered by overall $\tau$.
main,tab:item8,table*,1219,1247,12,1,paper_pipeline/generate_paper_results_numbers.py,paper/numbers_master.csv,"Cost per run (USD) and total tokens per run (thousands, input+output) by architecture and model, computed from measured per-run token counts priced at OpenRouter list rates."
main,tab:failure_arch_model,table*,1259,1275,88,1,paper_pipeline/analyze_benchmark_failures.py,paper/failure_analysis.csv,"Failure counts per architecture and model (summed across 5 runs). Counts are unique scenario-run failures (one per scenario per run), not raw output rows."
main,tab:item1,table*,1436,1460,11,1,UNKNOWN,UNKNOWN,Notation used throughout this paper.
main,tab:weight_comparison,table,1468,1496,42,1,Miscellaneous Scripts/merec_weights.py + Miscellaneous Scripts/EntropyWeights.py,Scoring Logic and Documentation/method/merec_weights_summary.xlsx + Scoring Logic and Documentation/method/entropy_weights.xlsx,"Weight comparison: a priori (subjective) vs.\ entropy and MEREC weights, both computed over the full 285-scenario corpus. Implied weights are reported separately in the text becaus"
main,tab:zero_variance,table,1500,1530,46,2,Miscellaneous Scripts/WeightDiagnostics.py,Scoring Logic and Documentation/method/weight_discrimination.xlsx,"Within-scenario dispersion of each criterion score across the three alternatives, by decision type, over the 285-scenario corpus. ``\% zero-var'' is the share of scenarios in which"
main,app:decision_type_full_figures,figure*,1545,1550,0,2,paper_pipeline/generate_paper_figures.py,paper/per_run_metrics/per_run_metrics_<model>.csv,"Kendall's $\tau$ (a--c) and Top-1 accuracy (d--f) by decision type and model (5-run mean, 195 scenarios each). Top row: $\tau$ by architecture ($\mathcal{A}_{\text{D}}$, $\mathcal{"
supp,tab:failure_modes,table,288,302,8,1,paper_pipeline/analyze_benchmark_failures.py,paper/failure_analysis.csv,Nonzero-firing failure mode counts per architecture (5-run total across all models).\protect\footnotemark
supp,tab:tou_rates,table,312,335,18,3,UNKNOWN,UNKNOWN,"Pennsylvania utility TOU rate structure. Peak window is 24-hour clock (start, end). All rates in \$/kWh. The residential electricity rate of \$0.19/kWh used for HVAC cost normaliza"
supp,tab:swing_weights,table*,510,530,93,1,Miscellaneous Scripts/WeightDiagnostics.py,Scoring Logic and Documentation/method/weight_discrimination.xlsx,Mean within-scenario swing (nominal weight $\times$ within-scenario score range) by criterion and decision type.
