file,line,type,value,section,subsection,float_label,in_float,context
main,17,pvalue,pgfplotsset{compat=1.18,,,,no,\pgfplotsset{compat=1.18}
main,35,pvalue,p=1.9,,,,no,"group style={group size=2 by 2, horizontal sep=1.9cm, vertical sep=1.6cm},"
main,35,pvalue,p=1.6,,,,no,"group style={group size=2 by 2, horizontal sep=1.9cm, vertical sep=1.6cm},"
main,39,decimal,0.25,,,,no,"enlarge x limits=0.25,"
main,40,integer,30,,,,no,"grid=major, grid style={gray!30}, ymajorgrids=true,"
main,41,decimal,0.25,,,,no,"extra y ticks={0.25,0.5,0.75},"
main,41,decimal,0.5,,,,no,"extra y ticks={0.25,0.5,0.75},"
main,41,decimal,0.75,,,,no,"extra y ticks={0.25,0.5,0.75},"
main,42,integer,50,,,,no,"extra y tick style={grid=major, grid style={gray!50}},"
main,44,decimal,1.118,,,,no,"legend style={font=\scriptsize, at={(1.118,1.42)}, anchor=south, legend columns=4, draw=none, fill=none},"
main,44,decimal,1.42,,,,no,"legend style={font=\scriptsize, at={(1.118,1.42)}, anchor=south, legend columns=4, draw=none, fill=none},"
main,48,decimal,0.3,,,,no,"\nextgroupplot[ylabel={MAE}, ymin=0, ymax=0.3,"
main,50,decimal,0.2477,,,,no,"\addplot[mark=*, colorGemini]   coordinates {(1,0.2477) (2,0.1782) (3,0.0698)};"
main,50,decimal,0.1782,,,,no,"\addplot[mark=*, colorGemini]   coordinates {(1,0.2477) (2,0.1782) (3,0.0698)};"
main,50,decimal,0.0698,,,,no,"\addplot[mark=*, colorGemini]   coordinates {(1,0.2477) (2,0.1782) (3,0.0698)};"
main,51,decimal,0.2407,,,,no,"\addplot[mark=square*, colorDeepSeek] coordinates {(1,0.2407) (2,0.1748) (3,0.0683)};"
main,51,decimal,0.1748,,,,no,"\addplot[mark=square*, colorDeepSeek] coordinates {(1,0.2407) (2,0.1748) (3,0.0683)};"
main,51,decimal,0.0683,,,,no,"\addplot[mark=square*, colorDeepSeek] coordinates {(1,0.2407) (2,0.1748) (3,0.0683)};"
main,52,decimal,0.2581,,,,no,"\addplot[mark=triangle*, colorGPTOSS] coordinates {(1,0.2581) (2,0.1725) (3,0.0783)};"
main,52,decimal,0.1725,,,,no,"\addplot[mark=triangle*, colorGPTOSS] coordinates {(1,0.2581) (2,0.1725) (3,0.0783)};"
main,52,decimal,0.0783,,,,no,"\addplot[mark=triangle*, colorGPTOSS] coordinates {(1,0.2581) (2,0.1725) (3,0.0783)};"
main,53,decimal,0.2554,,,,no,"\addplot[mark=diamond*, colorQwen] coordinates {(1,0.2554) (2,0.1950) (3,0.1115)};"
main,53,decimal,0.1950,,,,no,"\addplot[mark=diamond*, colorQwen] coordinates {(1,0.2554) (2,0.1950) (3,0.1115)};"
main,53,decimal,0.1115,,,,no,"\addplot[mark=diamond*, colorQwen] coordinates {(1,0.2554) (2,0.1950) (3,0.1115)};"
main,54,decimal,3.5,,,,no,"\legend{Gemini 3.5 Flash, DeepSeek V4 Flash, GPT-OSS 20B, Qwen 3.5 9B}"
main,54,decimal,3.5,,,,no,"\legend{Gemini 3.5 Flash, DeepSeek V4 Flash, GPT-OSS 20B, Qwen 3.5 9B}"
main,55,decimal,0.3,,,,no,"\nextgroupplot[ylabel={}, ymin=0, ymax=0.3,"
main,57,decimal,0.2484,,,,no,"\addplot[mark=*, colorGemini]   coordinates {(1,0.2484) (2,0.1667) (3,0.0921)};"
main,57,decimal,0.1667,,,,no,"\addplot[mark=*, colorGemini]   coordinates {(1,0.2484) (2,0.1667) (3,0.0921)};"
main,57,decimal,0.0921,,,,no,"\addplot[mark=*, colorGemini]   coordinates {(1,0.2484) (2,0.1667) (3,0.0921)};"
main,58,decimal,0.2652,,,,no,"\addplot[mark=square*, colorDeepSeek] coordinates {(1,0.2652) (2,0.1644) (3,0.0812)};"
main,58,decimal,0.1644,,,,no,"\addplot[mark=square*, colorDeepSeek] coordinates {(1,0.2652) (2,0.1644) (3,0.0812)};"
main,58,decimal,0.0812,,,,no,"\addplot[mark=square*, colorDeepSeek] coordinates {(1,0.2652) (2,0.1644) (3,0.0812)};"
main,59,decimal,0.2924,,,,no,"\addplot[mark=triangle*, colorGPTOSS] coordinates {(1,0.2924) (2,0.1665) (3,0.0978)};"
main,59,decimal,0.1665,,,,no,"\addplot[mark=triangle*, colorGPTOSS] coordinates {(1,0.2924) (2,0.1665) (3,0.0978)};"
main,59,decimal,0.0978,,,,no,"\addplot[mark=triangle*, colorGPTOSS] coordinates {(1,0.2924) (2,0.1665) (3,0.0978)};"
main,60,decimal,0.2739,,,,no,"\addplot[mark=diamond*, colorQwen] coordinates {(1,0.2739) (2,0.1919) (3,0.1498)};"
main,60,decimal,0.1919,,,,no,"\addplot[mark=diamond*, colorQwen] coordinates {(1,0.2739) (2,0.1919) (3,0.1498)};"
main,60,decimal,0.1498,,,,no,"\addplot[mark=diamond*, colorQwen] coordinates {(1,0.2739) (2,0.1919) (3,0.1498)};"
main,61,decimal,0.3,,,,no,"\nextgroupplot[ylabel={MAE}, ymin=0, ymax=0.3,"
main,63,decimal,0.1707,,,,no,"\addplot[mark=*, colorGemini]   coordinates {(1,0.1707) (2,0.1380) (3,0.0108)};"
main,63,decimal,0.1380,,,,no,"\addplot[mark=*, colorGemini]   coordinates {(1,0.1707) (2,0.1380) (3,0.0108)};"
main,63,decimal,0.0108,,,,no,"\addplot[mark=*, colorGemini]   coordinates {(1,0.1707) (2,0.1380) (3,0.0108)};"
main,64,decimal,0.1979,,,,no,"\addplot[mark=square*, colorDeepSeek] coordinates {(1,0.1979) (2,0.1745) (3,0.0167)};"
main,64,decimal,0.1745,,,,no,"\addplot[mark=square*, colorDeepSeek] coordinates {(1,0.1979) (2,0.1745) (3,0.0167)};"
main,64,decimal,0.0167,,,,no,"\addplot[mark=square*, colorDeepSeek] coordinates {(1,0.1979) (2,0.1745) (3,0.0167)};"
main,65,decimal,0.1848,,,,no,"\addplot[mark=triangle*, colorGPTOSS] coordinates {(1,0.1848) (2,0.1536) (3,0.0127)};"
main,65,decimal,0.1536,,,,no,"\addplot[mark=triangle*, colorGPTOSS] coordinates {(1,0.1848) (2,0.1536) (3,0.0127)};"
main,65,decimal,0.0127,,,,no,"\addplot[mark=triangle*, colorGPTOSS] coordinates {(1,0.1848) (2,0.1536) (3,0.0127)};"
main,66,decimal,0.1947,,,,no,"\addplot[mark=diamond*, colorQwen] coordinates {(1,0.1947) (2,0.1927) (3,0.0108)};"
main,66,decimal,0.1927,,,,no,"\addplot[mark=diamond*, colorQwen] coordinates {(1,0.1947) (2,0.1927) (3,0.0108)};"
main,66,decimal,0.0108,,,,no,"\addplot[mark=diamond*, colorQwen] coordinates {(1,0.1947) (2,0.1927) (3,0.0108)};"
main,67,decimal,0.3,,,,no,"\nextgroupplot[ylabel={}, ymin=0, ymax=0.3,"
main,69,decimal,0.2116,,,,no,"\addplot[mark=*, colorGemini]   coordinates {(1,0.2116) (2,0.1523) (3,0.0197)};"
main,69,decimal,0.1523,,,,no,"\addplot[mark=*, colorGemini]   coordinates {(1,0.2116) (2,0.1523) (3,0.0197)};"
main,69,decimal,0.0197,,,,no,"\addplot[mark=*, colorGemini]   coordinates {(1,0.2116) (2,0.1523) (3,0.0197)};"
main,70,decimal,0.2224,,,,no,"\addplot[mark=square*, colorDeepSeek] coordinates {(1,0.2224) (2,0.1531) (3,0.0208)};"
main,70,decimal,0.1531,,,,no,"\addplot[mark=square*, colorDeepSeek] coordinates {(1,0.2224) (2,0.1531) (3,0.0208)};"
main,70,decimal,0.0208,,,,no,"\addplot[mark=square*, colorDeepSeek] coordinates {(1,0.2224) (2,0.1531) (3,0.0208)};"
main,71,decimal,0.2307,,,,no,"\addplot[mark=triangle*, colorGPTOSS] coordinates {(1,0.2307) (2,0.1830) (3,0.0213)};"
main,71,decimal,0.1830,,,,no,"\addplot[mark=triangle*, colorGPTOSS] coordinates {(1,0.2307) (2,0.1830) (3,0.0213)};"
main,71,decimal,0.0213,,,,no,"\addplot[mark=triangle*, colorGPTOSS] coordinates {(1,0.2307) (2,0.1830) (3,0.0213)};"
main,72,decimal,0.2159,,,,no,"\addplot[mark=diamond*, colorQwen] coordinates {(1,0.2159) (2,0.1858) (3,0.0168)};"
main,72,decimal,0.1858,,,,no,"\addplot[mark=diamond*, colorQwen] coordinates {(1,0.2159) (2,0.1858) (3,0.0168)};"
main,72,decimal,0.0168,,,,no,"\addplot[mark=diamond*, colorQwen] coordinates {(1,0.2159) (2,0.1858) (3,0.0168)};"
main,80,pvalue,p=1.6,,,,no,"group style={group size=3 by 2, vertical sep=1.6cm},"
main,84,decimal,0.25,,,,no,"enlarge x limits=0.25,"
main,85,integer,30,,,,no,"grid=major, grid style={gray!30}, ymajorgrids=true,"
main,86,decimal,0.25,,,,no,"extra y ticks={0.25,0.5,0.75},"
main,86,decimal,0.5,,,,no,"extra y ticks={0.25,0.5,0.75},"
main,86,decimal,0.75,,,,no,"extra y ticks={0.25,0.5,0.75},"
main,87,integer,50,,,,no,"extra y tick style={grid=major, grid style={gray!50}},"
main,89,decimal,0.5,,,,no,"legend style={font=\scriptsize, at={(0.5,1.25)}, anchor=south, legend columns=4},"
main,89,decimal,1.25,,,,no,"legend style={font=\scriptsize, at={(0.5,1.25)}, anchor=south, legend columns=4},"
main,93,decimal,-0.2,,,,no,"\nextgroupplot[ylabel={Kendall's $\tau$}, ymin=-0.2, ymax=0.99,"
main,93,decimal,0.99,,,,no,"\nextgroupplot[ylabel={Kendall's $\tau$}, ymin=-0.2, ymax=0.99,"
main,95,decimal,-0.0324,,,,no,"\addplot[mark=*, colorGemini]   coordinates {(1,-0.0324) (2,-0.1162) (3,0.9772)};"
main,95,decimal,-0.1162,,,,no,"\addplot[mark=*, colorGemini]   coordinates {(1,-0.0324) (2,-0.1162) (3,0.9772)};"
main,95,decimal,0.9772,,,,no,"\addplot[mark=*, colorGemini]   coordinates {(1,-0.0324) (2,-0.1162) (3,0.9772)};"
main,96,decimal,-0.1021,,,,no,"\addplot[mark=square*, colorDeepSeek] coordinates {(1,-0.1021) (2,0.0419) (3,0.9197)};"
main,96,decimal,0.0419,,,,no,"\addplot[mark=square*, colorDeepSeek] coordinates {(1,-0.1021) (2,0.0419) (3,0.9197)};"
main,96,decimal,0.9197,,,,no,"\addplot[mark=square*, colorDeepSeek] coordinates {(1,-0.1021) (2,0.0419) (3,0.9197)};"
main,97,decimal,0.1352,,,,no,"\addplot[mark=triangle*, colorGPTOSS] coordinates {(1,0.1352) (2,0.2647) (3,0.9428)};"
main,97,decimal,0.2647,,,,no,"\addplot[mark=triangle*, colorGPTOSS] coordinates {(1,0.1352) (2,0.2647) (3,0.9428)};"
main,97,decimal,0.9428,,,,no,"\addplot[mark=triangle*, colorGPTOSS] coordinates {(1,0.1352) (2,0.2647) (3,0.9428)};"
main,98,decimal,-0.0027,,,,no,"\addplot[mark=diamond*, colorQwen] coordinates {(1,-0.0027) (2,0.1600) (3,0.8813)};"
main,98,decimal,0.1600,,,,no,"\addplot[mark=diamond*, colorQwen] coordinates {(1,-0.0027) (2,0.1600) (3,0.8813)};"
main,98,decimal,0.8813,,,,no,"\addplot[mark=diamond*, colorQwen] coordinates {(1,-0.0027) (2,0.1600) (3,0.8813)};"
main,99,decimal,3.5,,,,no,"\legend{Gemini 3.5 Flash, DeepSeek V4 Flash, GPT-OSS 20B, Qwen 3.5 9B}"
main,99,decimal,3.5,,,,no,"\legend{Gemini 3.5 Flash, DeepSeek V4 Flash, GPT-OSS 20B, Qwen 3.5 9B}"
main,100,decimal,-0.2,,,,no,"\nextgroupplot[ylabel={}, ymin=-0.2, ymax=0.99,"
main,100,decimal,0.99,,,,no,"\nextgroupplot[ylabel={}, ymin=-0.2, ymax=0.99,"
main,102,decimal,-0.0215,,,,no,"\addplot[mark=*, colorGemini]   coordinates {(1,-0.0215) (2,0.3441) (3,0.9590)};"
main,102,decimal,0.3441,,,,no,"\addplot[mark=*, colorGemini]   coordinates {(1,-0.0215) (2,0.3441) (3,0.9590)};"
main,102,decimal,0.9590,,,,no,"\addplot[mark=*, colorGemini]   coordinates {(1,-0.0215) (2,0.3441) (3,0.9590)};"
main,103,decimal,0.0293,,,,no,"\addplot[mark=square*, colorDeepSeek] coordinates {(1,0.0293) (2,0.4174) (3,0.9754)};"
main,103,decimal,0.4174,,,,no,"\addplot[mark=square*, colorDeepSeek] coordinates {(1,0.0293) (2,0.4174) (3,0.9754)};"
main,103,decimal,0.9754,,,,no,"\addplot[mark=square*, colorDeepSeek] coordinates {(1,0.0293) (2,0.4174) (3,0.9754)};"
main,104,decimal,-0.1467,,,,no,"\addplot[mark=triangle*, colorGPTOSS] coordinates {(1,-0.1467) (2,-0.0482) (3,0.9672)};"
main,104,decimal,-0.0482,,,,no,"\addplot[mark=triangle*, colorGPTOSS] coordinates {(1,-0.1467) (2,-0.0482) (3,0.9672)};"
main,104,decimal,0.9672,,,,no,"\addplot[mark=triangle*, colorGPTOSS] coordinates {(1,-0.1467) (2,-0.0482) (3,0.9672)};"
main,105,decimal,-0.0309,,,,no,"\addplot[mark=diamond*, colorQwen] coordinates {(1,-0.0309) (2,0.2308) (3,0.9056)};"
main,105,decimal,0.2308,,,,no,"\addplot[mark=diamond*, colorQwen] coordinates {(1,-0.0309) (2,0.2308) (3,0.9056)};"
