Description,Location,Utility Budget,Appliance,Housing Type,Occupants,kwh/cycle,Appliance Age/Type,Baseline Time,Alternative 1,Alternative 2,Alternative 3
It's around 2 in the afternoon and I need to run the washing machine. When should I start it?,"Monroeville, PA",175,washing_machine,Townhouse,3,0.45,8,2:00 PM,2:00 PM,9:00 PM,6:00 AM
It's around 7 in the evening and I need to run the dryer. When should I start it?,"Indiana, PA",200,dryer,Apartment,4,3.20,12,7:00 PM,7:00 PM,11:00 PM,2:00 PM
It's nearly 11 at night and I need to run the dishwasher. When should I start it?,"Uniontown, PA",220,dishwasher,Townhouse,5,1.35,6,11:00 PM,11:00 PM,3:00 PM,7:00 AM
It's around 10 in the morning and I need to run the washer. When should I start it?,"Butler, PA",160,washer,Single-family,3,0.28,3,10:00 AM,10:00 AM,2:00 PM,10:00 PM
It's just past 5 PM � when should I run the dryer?,"Greensburg, PA",190,dryer,Townhouse,2,3.50,15,5:00 PM,5:00 PM,2:00 PM,11:00 PM
It's past 1 in the morning and I need to run the washing machine. When should I start it?,"Monroeville, PA",210,washing_machine,Apartment,5,0.65,10,1:00 AM,1:00 AM,9:00 AM,2:00 PM
It's around 3 in the afternoon and I need to run the dryer. When should I start it?,"Indiana, PA",180,dryer,Townhouse,4,2.80,7,3:00 PM,3:00 PM,8:00 PM,11:00 PM
"It's mid-afternoon, about 2 and I'm trying to figure out when to start the dishwasher. When should I run it?","York, PA",200,dishwasher,Townhouse,4,1.40,7,2:00 PM,2:00 PM,3:00 PM,11:00 PM
"It's mid-afternoon, about 2 and I need to run the dryer. When should I start it?","Philadelphia, PA",175,dryer,Townhouse,3,3.00,10,2:00 PM,2:00 PM,11:00 PM,7:00 PM
It's around 7 in the evening � when should I run the dishwasher?,"Philadelphia, PA",150,dishwasher,Single-family,3,0.95,2,7:00 PM,7:00 PM,5:00 PM,4:00 PM
It's around 8 at night and I need to run the dishwasher. When should I start it?,"Pittsburgh, PA",120,dishwasher,Single-family,4,0.95,6,8:00 PM,8:00 PM,5:00 PM,1:00 AM
"It's mid-afternoon, about 2 and I'm trying to figure out when to start the washing machine. When should I run it?","Norristown, PA",120,washing_machine,Apartment,3,0.38,4,2:00 PM,2:00 PM,10:00 PM,1:00 AM
It's just gone 1 AM and I need to run the dryer. When should I start it?,"West Chester, PA",120,dryer,Townhouse,4,3.50,6,1:00 AM,1:00 AM,3:00 PM,11:00 PM
It's around 3 in the afternoon and I need to run the dryer. When should I start it?,"Philadelphia, PA",120,dryer,Apartment,3,3.20,12,3:00 PM,3:00 PM,10:00 PM,8:00 AM
It's just past 5 PM and I need to run the dishwasher. When should I start it?,"DuBois, PA",150,dishwasher,Townhouse,5,0.95,8,5:00 PM,5:00 PM,2:00 PM,10:00 PM
It's getting close to midnight � when should I run the washing machine?,"Pittsburgh, PA",175,washing_machine,Single-family,5,0.22,6,11:00 PM,11:00 PM,3:00 PM,5:00 PM
It's just past 5 PM � when should I run the washer?,"Erie, PA",120,washer,Apartment,3,0.38,10,5:00 PM,5:00 PM,2:00 PM,9:00 PM
"It's late afternoon, around 4 and I need to run the dryer. When should I start it?","Altoona, PA",120,dryer,Single-family,3,3.50,12,4:00 PM,4:00 PM,1:00 AM,10:00 PM
"It's late afternoon, around 4 and I'm trying to figure out when to start the washing machine. When should I run it?","Erie, PA",175,washing_machine,Apartment,4,0.28,7,4:00 PM,4:00 PM,12:00 PM,9:00 PM
It's just past 5 PM and I need to run the dishwasher. When should I start it?,"York, PA",120,dishwasher,Townhouse,2,0.95,15,5:00 PM,5:00 PM,1:00 AM,7:00 PM
It's around 7 in the evening and I need to run the washing machine. When should I start it?,"Carlisle, PA",175,washing_machine,Single-family,3,0.38,2,7:00 PM,7:00 PM,2:00 PM,1:00 AM
It's around 5 in the evening and I need to run the dryer. When should I start it?,"Easton, PA",175,dryer,Townhouse,5,3.50,4,5:00 PM,5:00 PM,10:00 PM,1:00 AM
"It's late afternoon, around 4 and I need to run the dryer. When should I start it?","Philadelphia, PA",175,dryer,Apartment,4,3.50,15,4:00 PM,4:00 PM,11:00 PM,9:00 AM
It's around 2 in the afternoon and I need to run the dishwasher. When should I start it?,"Pittsburgh, PA",200,dishwasher,Apartment,4,0.95,6,2:00 PM,2:00 PM,12:00 AM,11:00 PM
It's past 1 in the morning � when should I run the dryer?,"Pittsburgh, PA",175,dryer,Townhouse,4,1.20,12,1:00 AM,1:00 AM,2:00 PM,8:00 PM
It's just past 8 PM and I need to run the washer. When should I start it?,"McKeesport, PA",200,washer,Townhouse,3,0.38,8,8:00 PM,8:00 PM,10:00 AM,4:00 PM
It's just gone 1 AM and I need to run the dryer. When should I start it?,"Pottstown, PA",200,dryer,Townhouse,3,3.50,10,1:00 AM,1:00 AM,9:00 PM,4:00 PM
It's right at midnight and I need to run the dryer. When should I start it?,"Erie, PA",150,dryer,Apartment,4,3.50,3,12:00 AM,12:00 AM,7:00 PM,3:00 PM
It's just past midnight � when should I run the dishwasher?,"Chester, PA",200,dishwasher,Townhouse,2,0.95,12,12:00 AM,12:00 AM,10:00 PM,4:00 PM
"It's late afternoon, around 4 and I need to run the washing machine. When should I start it?","Oil City, PA",175,washing_machine,Single-family,2,0.38,15,4:00 PM,4:00 PM,10:00 PM,6:00 AM
It's around 3 in the afternoon and I need to run the dryer. When should I start it?,"Gettysburg, PA",200,dryer,Townhouse,2,3.50,2,3:00 PM,3:00 PM,11:00 PM,1:00 AM
