scenario_id,decision_type,question,location,outdoor_temp,alternative,energy_cost,environmental,comfort,practicality,rank,weighted_score
1,HVAC,Cold day today with 2 people home. What's a good heating temperature?,"Bethlehem, PA",26,67,5.0,6.0,7.0,8.0,3,6.2
1,HVAC,Cold day today with 2 people home. What's a good heating temperature?,"Bethlehem, PA",26,70,7.0,6.0,5.0,8.0,2,6.3999999999999995
1,HVAC,Cold day today with 2 people home. What's a good heating temperature?,"Bethlehem, PA",26,73,7.0,6.0,8.0,9.0,1,7.149999999999999
2,HVAC,It's hot today and we're home as usual. What temperature should I set the AC to?,"Doylestown, PA",91,72,6.0,6.0,8.0,7.0,3,6.55
2,HVAC,It's hot today and we're home as usual. What temperature should I set the AC to?,"Doylestown, PA",91,75,6.0,6.0,8.0,7.0,2,6.55
2,HVAC,It's hot today and we're home as usual. What temperature should I set the AC to?,"Doylestown, PA",91,79,6.0,6.0,8.0,7.0,1,6.55
3,HVAC,It's cold outside and we're home as usual. What should I set the heat to?,"Doylestown, PA",19,68,7.0,6.0,8.0,9.0,2,7.149999999999999
3,HVAC,It's cold outside and we're home as usual. What should I set the heat to?,"Doylestown, PA",19,71,6.0,7.0,8.0,9.0,1,7.199999999999999
3,HVAC,It's cold outside and we're home as usual. What should I set the heat to?,"Doylestown, PA",19,74,5.0,5.0,5.0,5.0,3,5.0
4,HVAC,Someone's home all day and it's hot outside. What should I set the AC to?,"Media, PA",87,75,4.0,5.0,7.0,6.0,2,5.25
4,HVAC,Someone's home all day and it's hot outside. What should I set the AC to?,"Media, PA",87,78,5.0,6.0,8.0,7.0,1,6.249999999999999
4,HVAC,Someone's home all day and it's hot outside. What should I set the AC to?,"Media, PA",87,81,3.0,4.0,7.0,6.0,3,4.6
5,HVAC,Someone's home all day and it's cold. What heating temperature should I use?,"Media, PA",23,67,5.0,6.0,7.0,8.0,3,6.2
5,HVAC,Someone's home all day and it's cold. What heating temperature should I use?,"Media, PA",23,70,5.0,6.0,8.0,7.0,1,6.249999999999999
5,HVAC,Someone's home all day and it's cold. What heating temperature should I use?,"Media, PA",23,73,6.0,5.0,8.0,7.0,2,6.2
6,HVAC,We're all out for 8 hours in the heat. What AC setting makes sense?,"Allentown, PA",90,76,5.0,6.0,4.0,7.0,2,5.449999999999999
6,HVAC,We're all out for 8 hours in the heat. What AC setting makes sense?,"Allentown, PA",90,79,6.0,6.0,5.0,7.0,1,5.949999999999999
6,HVAC,We're all out for 8 hours in the heat. What AC setting makes sense?,"Allentown, PA",90,82,5.0,5.0,5.0,5.0,3,5.0
7,HVAC,We're all out for 8 hours in cold weather. What heating temperature is best?,"Allentown, PA",21,66,7.0,7.0,5.0,8.0,1,6.75
7,HVAC,We're all out for 8 hours in cold weather. What heating temperature is best?,"Allentown, PA",21,69,2.0,2.0,1.0,3.0,3,1.9499999999999997
7,HVAC,We're all out for 8 hours in cold weather. What heating temperature is best?,"Allentown, PA",21,72,6.0,7.0,5.0,8.0,2,6.45
8,HVAC,The house will be empty for 12 hours today. What AC temperature should I set?,"Harrisburg, PA",94,76,3.0,4.0,2.0,6.0,3,3.5999999999999996
8,HVAC,The house will be empty for 12 hours today. What AC temperature should I set?,"Harrisburg, PA",94,79,4.0,5.0,7.0,8.0,2,5.550000000000001
8,HVAC,The house will be empty for 12 hours today. What AC temperature should I set?,"Harrisburg, PA",94,82,7.0,6.0,4.0,8.0,1,6.199999999999999
9,HVAC,The house will be empty for 12 hours today. What heat setting should I use?,"Harrisburg, PA",17,66,7.0,6.0,4.0,8.0,2,6.199999999999999
9,HVAC,The house will be empty for 12 hours today. What heat setting should I use?,"Harrisburg, PA",17,69,3.0,4.0,2.0,5.0,3,3.4499999999999997
9,HVAC,The house will be empty for 12 hours today. What heat setting should I use?,"Harrisburg, PA",17,72,7.0,6.0,5.0,8.0,1,6.3999999999999995
10,HVAC,I'm working from home today and it's hot. What AC temperature should I use?,"Blue Bell, PA",88,73,6.0,5.0,8.0,7.0,1,6.2
10,HVAC,I'm working from home today and it's hot. What AC temperature should I use?,"Blue Bell, PA",88,76,4.0,5.0,7.0,8.0,2,5.550000000000001
10,HVAC,I'm working from home today and it's hot. What AC temperature should I use?,"Blue Bell, PA",88,79,4.0,5.0,7.0,6.0,3,5.25
11,HVAC,I'm working from home and it's cold outside. What should I set the heat to?,"Blue Bell, PA",22,68,7.0,6.0,8.0,9.0,3,7.149999999999999
11,HVAC,I'm working from home and it's cold outside. What should I set the heat to?,"Blue Bell, PA",22,71,7.0,6.0,8.0,9.0,2,7.149999999999999
11,HVAC,I'm working from home and it's cold outside. What should I set the heat to?,"Blue Bell, PA",22,74,6.0,7.0,8.0,9.0,1,7.199999999999999
12,HVAC,The house will be empty for 4 hours today. What AC temperature should I set?,"York, PA",92,78,4.0,4.0,6.0,7.0,3,4.85
12,HVAC,The house will be empty for 4 hours today. What AC temperature should I set?,"York, PA",92,81,3.0,4.0,7.0,8.0,2,4.9
12,HVAC,The house will be empty for 4 hours today. What AC temperature should I set?,"York, PA",92,84,5.0,5.0,3.0,7.0,1,4.9
13,HVAC,The house will be empty for 4 hours today. What heat setting should I use?,"York, PA",20,65,7.0,6.0,4.0,8.0,2,6.199999999999999
13,HVAC,The house will be empty for 4 hours today. What heat setting should I use?,"York, PA",20,68,7.0,6.0,5.0,8.0,1,6.3999999999999995
13,HVAC,The house will be empty for 4 hours today. What heat setting should I use?,"York, PA",20,71,4.0,5.0,7.0,8.0,3,5.550000000000001
14,HVAC,I'll be home all day working and it's hot outside. What AC temperature makes sense?,"Phoenixville, PA",89,76,6.0,5.0,8.0,7.0,1,6.2
14,HVAC,I'll be home all day working and it's hot outside. What AC temperature makes sense?,"Phoenixville, PA",89,79,4.0,5.0,7.0,6.0,3,5.25
14,HVAC,I'll be home all day working and it's hot outside. What AC temperature makes sense?,"Phoenixville, PA",89,82,4.0,5.0,7.0,6.0,2,5.25
15,HVAC,I'll be home all day and it's cold. What temperature should I set the thermostat to?,"Phoenixville, PA",24,66,3.0,4.0,7.0,5.0,2,4.45
15,HVAC,I'll be home all day and it's cold. What temperature should I set the thermostat to?,"Phoenixville, PA",24,69,2.0,3.0,8.0,5.0,3,4.0
15,HVAC,I'll be home all day and it's cold. What temperature should I set the thermostat to?,"Phoenixville, PA",24,72,6.0,5.0,8.0,7.0,1,6.2
16,HVAC,No one's home for 8 hours and it's hot. What should I set the AC to?,"Scranton, PA",84,75,6.0,7.0,4.0,8.0,1,6.25
16,HVAC,No one's home for 8 hours and it's hot. What should I set the AC to?,"Scranton, PA",84,78,7.0,6.0,4.0,8.0,3,6.199999999999999
16,HVAC,No one's home for 8 hours and it's hot. What should I set the AC to?,"Scranton, PA",84,81,7.0,6.0,4.0,8.0,2,6.199999999999999
17,HVAC,No one's home for 8 hours and it's cold. What should I set the heat to?,"Scranton, PA",16,66,7.0,6.0,4.0,8.0,3,6.199999999999999
17,HVAC,No one's home for 8 hours and it's cold. What should I set the heat to?,"Scranton, PA",16,69,7.0,7.0,4.0,8.0,2,6.55
17,HVAC,No one's home for 8 hours and it's cold. What should I set the heat to?,"Scranton, PA",16,72,7.0,7.0,5.0,8.0,1,6.75
18,HVAC,We're all out for 8 hours in the heat. What AC setting makes sense?,"Norristown, PA",91,78,4.0,4.0,6.0,7.0,3,4.85
18,HVAC,We're all out for 8 hours in the heat. What AC setting makes sense?,"Norristown, PA",91,81,5.0,5.0,3.0,7.0,2,4.9
18,HVAC,We're all out for 8 hours in the heat. What AC setting makes sense?,"Norristown, PA",91,84,5.0,4.0,7.0,6.0,1,5.199999999999999
19,HVAC,We're all out for 8 hours in cold weather. What heating temperature is best?,"Norristown, PA",19,65,4.0,5.0,7.0,6.0,3,5.25
19,HVAC,We're all out for 8 hours in cold weather. What heating temperature is best?,"Norristown, PA",19,68,7.0,6.0,8.0,9.0,1,7.149999999999999
19,HVAC,We're all out for 8 hours in cold weather. What heating temperature is best?,"Norristown, PA",19,71,4.0,5.0,7.0,6.0,2,5.25
20,HVAC,It's hot today and we're home as usual. What temperature should I set the AC to?,"Lower Merion, PA",90,71,7.0,6.0,8.0,9.0,1,7.149999999999999
20,HVAC,It's hot today and we're home as usual. What temperature should I set the AC to?,"Lower Merion, PA",90,75,4.0,5.0,7.0,8.0,3,5.550000000000001
20,HVAC,It's hot today and we're home as usual. What temperature should I set the AC to?,"Lower Merion, PA",90,79,5.0,5.0,7.0,8.0,2,5.8500000000000005
21,HVAC,It's cold outside and we're home as usual. What should I set the heat to?,"Lower Merion, PA",23,68,7.0,6.0,8.0,9.0,3,7.149999999999999
21,HVAC,It's cold outside and we're home as usual. What should I set the heat to?,"Lower Merion, PA",23,71,7.0,6.0,8.0,9.0,2,7.149999999999999
21,HVAC,It's cold outside and we're home as usual. What should I set the heat to?,"Lower Merion, PA",23,74,6.0,7.0,8.0,9.0,1,7.199999999999999
22,HVAC,The house is unoccupied for 4 hours today. What's the best AC temperature?,"King of Prussia, PA",93,75,5.0,5.0,5.0,5.0,3,5.0
22,HVAC,The house is unoccupied for 4 hours today. What's the best AC temperature?,"King of Prussia, PA",93,78,6.0,5.0,7.0,8.0,2,6.15
22,HVAC,The house is unoccupied for 4 hours today. What's the best AC temperature?,"King of Prussia, PA",93,81,6.0,7.0,4.0,8.0,1,6.25
23,HVAC,The house is unoccupied for 4 hours. What should I set the thermostat to?,"King of Prussia, PA",18,66,7.0,6.0,5.0,8.0,2,6.3999999999999995
23,HVAC,The house is unoccupied for 4 hours. What should I set the thermostat to?,"King of Prussia, PA",18,69,6.0,7.0,4.0,8.0,3,6.25
23,HVAC,The house is unoccupied for 4 hours. What should I set the thermostat to?,"King of Prussia, PA",18,72,7.0,7.0,6.0,8.0,1,6.95
24,HVAC,It's hot today and we're home as usual. What temperature should I set the AC to?,"Pottstown, PA",88,76,5.0,5.0,7.0,8.0,1,5.8500000000000005
24,HVAC,It's hot today and we're home as usual. What temperature should I set the AC to?,"Pottstown, PA",88,79,4.0,5.0,7.0,6.0,3,5.25
24,HVAC,It's hot today and we're home as usual. What temperature should I set the AC to?,"Pottstown, PA",88,82,4.0,5.0,7.0,8.0,2,5.550000000000001
25,HVAC,It's cold outside and we're home as usual. What should I set the heat to?,"Pottstown, PA",21,66,4.0,5.0,7.0,8.0,2,5.550000000000001
25,HVAC,It's cold outside and we're home as usual. What should I set the heat to?,"Pottstown, PA",21,69,3.0,4.0,2.0,5.0,3,3.4499999999999997
25,HVAC,It's cold outside and we're home as usual. What should I set the heat to?,"Pottstown, PA",21,72,7.0,6.0,8.0,9.0,1,7.149999999999999
26,HVAC,It's hot today and everyone's home. What temperature makes sense for the AC?,"Exton, PA",91,73,6.0,5.0,7.0,8.0,1,6.15
26,HVAC,It's hot today and everyone's home. What temperature makes sense for the AC?,"Exton, PA",91,76,4.0,5.0,7.0,6.0,3,5.25
26,HVAC,It's hot today and everyone's home. What temperature makes sense for the AC?,"Exton, PA",91,79,4.0,5.0,7.0,6.0,2,5.25
27,HVAC,It's cold today and everyone's home. What heating temperature should I use?,"Exton, PA",20,67,4.0,5.0,7.0,6.0,3,5.25
27,HVAC,It's cold today and everyone's home. What heating temperature should I use?,"Exton, PA",20,70,6.0,5.0,8.0,7.0,1,6.2
27,HVAC,It's cold today and everyone's home. What heating temperature should I use?,"Exton, PA",20,73,4.0,5.0,7.0,6.0,2,5.25
28,HVAC,"With 2 people home on a hot day, what's the best AC setting?","Reading, PA",92,78,4.0,4.0,7.0,6.0,3,4.9
28,HVAC,"With 2 people home on a hot day, what's the best AC setting?","Reading, PA",92,81,5.0,5.0,7.0,8.0,2,5.8500000000000005
28,HVAC,"With 2 people home on a hot day, what's the best AC setting?","Reading, PA",92,84,5.0,5.0,7.0,8.0,1,5.8500000000000005
29,HVAC,Cold day today with 2 people home. What's a good heating temperature?,"Reading, PA",22,65,7.0,6.0,5.0,8.0,2,6.3999999999999995
29,HVAC,Cold day today with 2 people home. What's a good heating temperature?,"Reading, PA",22,68,7.0,6.0,5.0,8.0,1,6.3999999999999995
29,HVAC,Cold day today with 2 people home. What's a good heating temperature?,"Reading, PA",22,71,5.0,5.0,6.0,7.0,3,5.5
30,HVAC,It's a hot day. What should I set my air conditioning to?,"Newtown, PA",89,74,6.0,5.0,8.0,7.0,3,6.2
30,HVAC,It's a hot day. What should I set my air conditioning to?,"Newtown, PA",89,77,6.0,5.0,8.0,7.0,2,6.2
30,HVAC,It's a hot day. What should I set my air conditioning to?,"Newtown, PA",89,80,5.0,6.0,7.0,8.0,1,6.2
31,HVAC,It's a cold day. What should I set the thermostat to?,"Newtown, PA",24,67,3.0,4.0,8.0,7.0,3,4.95
31,HVAC,It's a cold day. What should I set the thermostat to?,"Newtown, PA",24,70,4.0,5.0,8.0,7.0,2,5.6000000000000005
31,HVAC,It's a cold day. What should I set the thermostat to?,"Newtown, PA",24,73,7.0,6.0,8.0,9.0,1,7.149999999999999
32,HVAC,It's hot today and we're home as usual. What temperature should I set the AC to?,"Wilkes-Barre, PA",87,75,6.0,6.0,7.0,8.0,2,6.5
32,HVAC,It's hot today and we're home as usual. What temperature should I set the AC to?,"Wilkes-Barre, PA",87,78,6.0,6.0,7.0,8.0,1,6.5
32,HVAC,It's hot today and we're home as usual. What temperature should I set the AC to?,"Wilkes-Barre, PA",87,81,4.0,5.0,7.0,8.0,3,5.550000000000001
33,HVAC,It's cold outside and we're home as usual. What should I set the heat to?,"Wilkes-Barre, PA",19,66,5.0,6.0,7.0,8.0,2,6.2
33,HVAC,It's cold outside and we're home as usual. What should I set the heat to?,"Wilkes-Barre, PA",19,69,3.0,4.0,8.0,7.0,3,4.95
33,HVAC,It's cold outside and we're home as usual. What should I set the heat to?,"Wilkes-Barre, PA",19,72,7.0,6.0,8.0,9.0,1,7.149999999999999
34,HVAC,"With 2 people home on a hot day, what's the best AC setting?","Carlisle, PA",90,78,6.0,5.0,7.0,8.0,1,6.15
34,HVAC,"With 2 people home on a hot day, what's the best AC setting?","Carlisle, PA",90,81,4.0,5.0,7.0,6.0,3,5.25
34,HVAC,"With 2 people home on a hot day, what's the best AC setting?","Carlisle, PA",90,84,4.0,5.0,7.0,6.0,2,5.25
35,HVAC,Cold day today with 2 people home. What's a good heating temperature?,"Carlisle, PA",23,65,7.0,6.0,8.0,9.0,2,7.149999999999999
35,HVAC,Cold day today with 2 people home. What's a good heating temperature?,"Carlisle, PA",23,68,7.0,6.0,8.0,9.0,1,7.149999999999999
35,HVAC,Cold day today with 2 people home. What's a good heating temperature?,"Carlisle, PA",23,71,6.0,5.0,7.0,8.0,3,6.15
36,HVAC,It's hot today and everyone's home. What temperature makes sense for the AC?,"Lebanon, PA",91,76,4.0,5.0,7.0,6.0,3,5.25
36,HVAC,It's hot today and everyone's home. What temperature makes sense for the AC?,"Lebanon, PA",91,79,4.0,5.0,7.0,6.0,2,5.25
36,HVAC,It's hot today and everyone's home. What temperature makes sense for the AC?,"Lebanon, PA",91,82,6.0,5.0,8.0,7.0,1,6.2
37,HVAC,It's cold today and everyone's home. What heating temperature should I use?,"Lebanon, PA",21,66,4.0,5.0,7.0,8.0,2,5.550000000000001
37,HVAC,It's cold today and everyone's home. What heating temperature should I use?,"Lebanon, PA",21,69,2.0,3.0,6.0,5.0,3,3.6
37,HVAC,It's cold today and everyone's home. What heating temperature should I use?,"Lebanon, PA",21,72,7.0,6.0,8.0,9.0,1,7.149999999999999
38,HVAC,It's a hot day. What should I set my air conditioning to?,"Gettysburg, PA",88,74,6.0,6.0,7.0,8.0,3,6.5
38,HVAC,It's a hot day. What should I set my air conditioning to?,"Gettysburg, PA",88,77,6.0,7.0,8.0,9.0,2,7.199999999999999
38,HVAC,It's a hot day. What should I set my air conditioning to?,"Gettysburg, PA",88,80,6.0,7.0,8.0,9.0,1,7.199999999999999
39,HVAC,It's a cold day. What should I set the thermostat to?,"Gettysburg, PA",20,67,3.0,4.0,7.0,6.0,2,4.6
39,HVAC,It's a cold day. What should I set the thermostat to?,"Gettysburg, PA",20,70,2.0,2.0,10.0,5.0,3,4.05
39,HVAC,It's a cold day. What should I set the thermostat to?,"Gettysburg, PA",20,73,6.0,7.0,8.0,9.0,1,7.199999999999999
40,HVAC,What temperature should I set the AC to overnight?,"Chambersburg, PA",92,75,6.0,6.0,7.0,8.0,1,6.5
40,HVAC,What temperature should I set the AC to overnight?,"Chambersburg, PA",92,78,4.0,5.0,7.0,6.0,3,5.25
40,HVAC,What temperature should I set the AC to overnight?,"Chambersburg, PA",92,81,6.0,7.0,5.0,8.0,2,6.45
41,HVAC,What temperature should I set the heat to overnight?,"Chambersburg, PA",18,67,6.0,7.0,5.0,8.0,3,6.45
41,HVAC,What temperature should I set the heat to overnight?,"Chambersburg, PA",18,70,6.0,7.0,5.0,8.0,2,6.45
41,HVAC,What temperature should I set the heat to overnight?,"Chambersburg, PA",18,73,6.0,6.0,7.0,8.0,1,6.5
42,HVAC,It's hot today and everyone's home. What temperature makes sense for the AC?,"Altoona, PA",85,76,5.0,5.0,7.0,6.0,2,5.550000000000001
42,HVAC,It's hot today and everyone's home. What temperature makes sense for the AC?,"Altoona, PA",85,79,6.0,5.0,7.0,8.0,1,6.15
42,HVAC,It's hot today and everyone's home. What temperature makes sense for the AC?,"Altoona, PA",85,82,4.0,5.0,7.0,6.0,3,5.25
43,HVAC,It's cold today and everyone's home. What heating temperature should I use?,"Altoona, PA",17,66,3.0,4.0,7.0,6.0,2,4.6
43,HVAC,It's cold today and everyone's home. What heating temperature should I use?,"Altoona, PA",17,69,3.0,3.0,8.0,5.0,3,4.3
43,HVAC,It's cold today and everyone's home. What heating temperature should I use?,"Altoona, PA",17,72,6.0,5.0,8.0,7.0,1,6.2
44,HVAC,I'm setting the thermostat for bedtime. What AC temperature is best for sleeping?,"Stroudsburg, PA",89,76,4.0,4.0,7.0,6.0,3,4.9
44,HVAC,I'm setting the thermostat for bedtime. What AC temperature is best for sleeping?,"Stroudsburg, PA",89,79,6.0,6.0,7.0,8.0,2,6.5
44,HVAC,I'm setting the thermostat for bedtime. What AC temperature is best for sleeping?,"Stroudsburg, PA",89,82,6.0,6.0,7.0,8.0,1,6.5
45,HVAC,I'm setting the thermostat for bedtime. What heating temperature is best for sleeping?,"Stroudsburg, PA",21,66,7.0,6.0,8.0,9.0,2,7.149999999999999
45,HVAC,I'm setting the thermostat for bedtime. What heating temperature is best for sleeping?,"Stroudsburg, PA",21,69,2.0,2.0,6.0,3.0,3,2.95
45,HVAC,I'm setting the thermostat for bedtime. What heating temperature is best for sleeping?,"Stroudsburg, PA",21,72,6.0,7.0,8.0,9.0,1,7.199999999999999
46,HVAC,"With people home all day in the heat, what's the best AC setting?","Hazleton, PA",98,78,4.0,4.0,7.0,6.0,2,4.9
46,HVAC,"With people home all day in the heat, what's the best AC setting?","Hazleton, PA",98,80,3.0,3.0,7.0,6.0,3,4.25
46,HVAC,"With people home all day in the heat, what's the best AC setting?","Hazleton, PA",98,82,5.0,6.0,7.0,8.0,1,6.2
47,HVAC,It's hot today and we're home as usual. What temperature should I set the AC to?,"Monroeville, PA",92,76,4.0,5.0,7.0,8.0,3,5.550000000000001
47,HVAC,It's hot today and we're home as usual. What temperature should I set the AC to?,"Monroeville, PA",92,78,6.0,6.0,8.0,7.0,1,6.55
47,HVAC,It's hot today and we're home as usual. What temperature should I set the AC to?,"Monroeville, PA",92,80,4.0,5.0,7.0,8.0,2,5.550000000000001
48,HVAC,I'll be home all day working and it's hot outside. What AC temperature makes sense?,"New Castle, PA",97,79,4.0,5.0,8.0,7.0,1,5.6000000000000005
48,HVAC,I'll be home all day working and it's hot outside. What AC temperature makes sense?,"New Castle, PA",97,81,4.0,4.0,7.0,6.0,3,4.9
48,HVAC,I'll be home all day working and it's hot outside. What AC temperature makes sense?,"New Castle, PA",97,83,4.0,4.0,7.0,6.0,2,4.9
