scenario_id,question,location,decision_type,outdoor_temp,appliance_age,flow_rate,alternative,energy_cost,environmental,comfort,practicality,rank,weighted_score
1,Cold day today with 2 people home. What's a good heating temperature?,"Bethlehem, PA",HVAC,26,,,67,5.5,5.5,8.0,7.5,2,6.3
1,Cold day today with 2 people home. What's a good heating temperature?,"Bethlehem, PA",HVAC,26,,,70,5.5,5.5,8.9,7.5,1,6.48
1,Cold day today with 2 people home. What's a good heating temperature?,"Bethlehem, PA",HVAC,26,,,73,5.0,5.0,7.5,8.0,3,5.95
2,It's hot today and we're home as usual. What temperature should I set the AC to?,"Doylestown, PA",HVAC,91,,,72,4.2,4.2,5.8,8.5,3,5.164999999999999
2,It's hot today and we're home as usual. What temperature should I set the AC to?,"Doylestown, PA",HVAC,91,,,75,4.4,4.4,9.0,9.5,2,6.085
2,It's hot today and we're home as usual. What temperature should I set the AC to?,"Doylestown, PA",HVAC,91,,,79,4.8,4.8,8.5,9.4,1,6.23
3,It's cold outside and we're home as usual. What should I set the heat to?,"Doylestown, PA",HVAC,19,,,68,5.5,5.5,8.4,7.3,1,6.35
3,It's cold outside and we're home as usual. What should I set the heat to?,"Doylestown, PA",HVAC,19,,,71,5.2,5.2,9.1,7.3,2,6.295
3,It's cold outside and we're home as usual. What should I set the heat to?,"Doylestown, PA",HVAC,19,,,74,4.9,4.9,6.7,7.3,3,5.62
4,Someone's home all day and it's hot outside. What should I set the AC to?,"Media, PA",HVAC,87,,,75,5.0,5.0,8.5,9.0,2,6.3
4,Someone's home all day and it's hot outside. What should I set the AC to?,"Media, PA",HVAC,87,,,78,4.5,4.5,8.8,9.2,3,6.065
4,Someone's home all day and it's hot outside. What should I set the AC to?,"Media, PA",HVAC,87,,,81,5.8,5.8,6.5,9.2,1,6.449999999999999
5,Someone's home all day and it's cold. What heating temperature should I use?,"Media, PA",HVAC,23,,,67,5.2,5.2,7.5,8.0,2,6.08
5,Someone's home all day and it's cold. What heating temperature should I use?,"Media, PA",HVAC,23,,,70,4.8,4.8,8.2,7.5,3,5.885
5,Someone's home all day and it's cold. What heating temperature should I use?,"Media, PA",HVAC,23,,,73,5.2,5.2,8.4,7.8,1,6.23
6,We're all out for 8 hours in the heat. What AC setting makes sense?,"Allentown, PA",HVAC,90,,,76,4.2,4.2,8.9,9.4,2,5.92
6,We're all out for 8 hours in the heat. What AC setting makes sense?,"Allentown, PA",HVAC,90,,,79,4.7,4.7,7.4,9.5,1,5.96
6,We're all out for 8 hours in the heat. What AC setting makes sense?,"Allentown, PA",HVAC,90,,,82,5.2,5.2,4.1,9.6,3,5.640000000000001
7,We're all out for 8 hours in cold weather. What heating temperature is best?,"Allentown, PA",HVAC,21,,,66,5.4,5.4,4.8,7.1,3,5.535
7,We're all out for 8 hours in cold weather. What heating temperature is best?,"Allentown, PA",HVAC,21,,,69,5.2,5.2,8.5,7.5,1,6.205
7,We're all out for 8 hours in cold weather. What heating temperature is best?,"Allentown, PA",HVAC,21,,,72,4.8,4.8,8.2,8.5,2,6.035
8,The house will be empty for 12 hours today. What AC temperature should I set?,"Harrisburg, PA",HVAC,94,,,76,1.5,1.5,8.2,9.2,3,3.9949999999999997
8,The house will be empty for 12 hours today. What AC temperature should I set?,"Harrisburg, PA",HVAC,94,,,79,2.2,2.2,7.4,9.4,1,4.32
8,The house will be empty for 12 hours today. What AC temperature should I set?,"Harrisburg, PA",HVAC,94,,,82,2.7,2.7,5.8,9.2,2,4.295
