scenario_id,description,location,utility_budget,appliance,appliance_age_type,housing_type,occupants,kwh_per_cycle,alternative,energy_cost_score,environmental_score,comfort_score,practicality_score,mavt_score,rank,raw_cost,raw_emissions
0,It's late (around 2 AM) and I need to run the dishwasher. Should I do it now or wait?,"Philadelphia, PA",200,dishwasher,7,Apartment,3,1.4,2:00 AM,9.19,6.7,10.0,8.45,8.369499999999999,1,0.1064,1.366
0,It's late (around 2 AM) and I need to run the dishwasher. Should I do it now or wait?,"Philadelphia, PA",200,dishwasher,7,Apartment,3,1.4,3:00 PM,6.09,6.43,4.78,4.64,5.7295,3,0.448,1.457
0,It's late (around 2 AM) and I need to run the dishwasher. Should I do it now or wait?,"Philadelphia, PA",200,dishwasher,7,Apartment,3,1.4,7:00 PM,9.19,6.43,6.6,5.22,7.1105,2,0.1064,1.457
1,It's late (around midnight) and I need to run the dishwasher. Should I do it now or wait?,"Lancaster, PA",200,dishwasher,2,Single-family,4,1.4,12:00 AM,8.88,6.7,10.0,8.45,8.2765,1,0.14,1.366
1,It's late (around midnight) and I need to run the dishwasher. Should I do it now or wait?,"Lancaster, PA",200,dishwasher,2,Single-family,4,1.4,7:00 PM,8.88,6.43,7.56,6.37,7.382000000000001,2,0.14,1.457
1,It's late (around midnight) and I need to run the dishwasher. Should I do it now or wait?,"Lancaster, PA",200,dishwasher,2,Single-family,4,1.4,2:00 PM,8.38,6.43,5.26,4.64,6.512499999999999,3,0.196,1.457
2,It's late (around 10 PM) and I need to run the dishwasher. Should I do it now or wait?,"Pittsburgh, PA",120,dishwasher,10,Apartment,2,0.95,10:00 PM,8.97,7.81,10.0,9.25,8.812,1,0.1306,0.989
2,It's late (around 10 PM) and I need to run the dishwasher. Should I do it now or wait?,"Pittsburgh, PA",120,dishwasher,10,Apartment,2,0.95,3:00 PM,8.97,7.81,7.0,5.71,7.681,2,0.1306,0.989
2,It's late (around 10 PM) and I need to run the dishwasher. Should I do it now or wait?,"Pittsburgh, PA",120,dishwasher,10,Apartment,2,0.95,2:00 PM,8.97,7.81,6.65,5.19,7.533,3,0.1306,0.989
3,Dinner's done around 5 PM. What's the best time to run the dishwasher?,"Allentown, PA",150,dishwasher,2,Single-family,2,1.25,5:00 PM,8.57,6.89,10.0,10.0,8.4825,1,0.175,1.301
3,Dinner's done around 5 PM. What's the best time to run the dishwasher?,"Allentown, PA",150,dishwasher,2,Single-family,2,1.25,7:00 PM,9.02,6.89,9.09,8.45,8.203,3,0.125,1.301
3,Dinner's done around 5 PM. What's the best time to run the dishwasher?,"Allentown, PA",150,dishwasher,2,Single-family,2,1.25,4:00 PM,8.57,6.89,9.55,9.25,8.28,2,0.175,1.301
4,Dinner's done around 5 PM. What's the best time to run the dishwasher?,"Erie, PA",175,dishwasher,10,Townhouse,2,1.25,5:00 PM,8.06,6.89,10.0,10.0,8.3295,1,0.2313,1.301
4,Dinner's done around 5 PM. What's the best time to run the dishwasher?,"Erie, PA",175,dishwasher,10,Townhouse,2,1.25,11:00 PM,9.34,7.13,7.43,5.19,7.561999999999999,3,0.09,1.22
4,Dinner's done around 5 PM. What's the best time to run the dishwasher?,"Erie, PA",175,dishwasher,10,Townhouse,2,1.25,4:00 PM,8.06,6.89,9.55,9.25,8.126999999999999,2,0.2313,1.301
5,I'm ready to run the dishwasher after dinner (around 8 PM). When should I start it?,"Scranton, PA",150,dishwasher,7,Apartment,2,1.25,8:00 PM,9.02,6.89,10.0,10.0,8.6175,1,0.125,1.301
5,I'm ready to run the dishwasher after dinner (around 8 PM). When should I start it?,"Scranton, PA",150,dishwasher,7,Apartment,2,1.25,3:00 PM,8.57,6.89,7.83,6.69,7.552,3,0.175,1.301
5,I'm ready to run the dishwasher after dinner (around 8 PM). When should I start it?,"Scranton, PA",150,dishwasher,7,Apartment,2,1.25,4:00 PM,8.57,6.89,8.23,7.15,7.701,2,0.175,1.301
