number_id,value,where_in_paper,quoted_context,source_file,source_sheet_or_column,computing_script,model,decision_type,basis_notes,status
D9_pjm_peak_offpeak_gap_share_of_peak,0.0624,paper/MOCK_EMS_REVIEW.md (reviewer's 6.2%),6.2% reference contrast,Ground Truth Calculators/ApplianceGroundTruthCalculator.py L22-23,EMISSIONS_FACTOR_PEAK/OFFPEAK,Analysis/pass5/d9_prompt_checks.py,all,Appliance,(1.041-0.976)/1.041; peak is 6.7% above off-peak,verified
D9_env_score_gap_per_kwh,0.0194,not in paper,,ApplianceGroundTruthCalculator.py apply_value_function,environmental min/max 0.288/3.643,Analysis/pass5/d9_prompt_checks.py,all,Appliance,"max Environmental Impact score change per kWh of cycle energy, peak vs off-peak",new
D9_appliance_ref_within_range_environmental,0.0257,not in paper,,Ground Truth/ground_truth_appliance.xlsx,environmental_score,Analysis/pass5/d9_prompt_checks.py,reference,Appliance,mean over 65 Appliance test scenarios of max-min reference criterion score,new
D9_appliance_ref_within_range_energy_cost,0.2298,not in paper,,Ground Truth/ground_truth_appliance.xlsx,energy_cost_score,Analysis/pass5/d9_prompt_checks.py,reference,Appliance,mean over 65 Appliance test scenarios of max-min reference criterion score,new
D9_appliance_ref_within_range_comfort,0.4657,not in paper,,Ground Truth/ground_truth_appliance.xlsx,comfort_score,Analysis/pass5/d9_prompt_checks.py,reference,Appliance,mean over 65 Appliance test scenarios of max-min reference criterion score,new
D9_appliance_ref_within_range_practicality,0.6094,not in paper,,Ground Truth/ground_truth_appliance.xlsx,practicality_score,Analysis/pass5/d9_prompt_checks.py,reference,Appliance,mean over 65 Appliance test scenarios of max-min reference criterion score,new
D9_appliance_ref_env_zero_range_share,0.3231,not in paper,,Ground Truth/ground_truth_appliance.xlsx,environmental_score,Analysis/pass5/d9_prompt_checks.py,reference,Appliance,share of 65 Appliance test scenarios whose three alternatives share one Environmental Impact score,new
D9_ablation_AD_control_tau_deepseek_Overall,0.131,not in paper,,Analysis/Prompt_Ablation/cell_control_AD_deepseek_run_*.xlsx,kendall_tau,Analysis/pass5/d9_prompt_checks.py,deepseek,Overall,"prompt-ablation cell, 10 runs, per-run mean then mean over runs; tau is the ablation's tau-b on continuous weighted scores (all-tied scenarios dropped), collected against the reference as it stood in Jul-Aug 2026 (old shower comfort function)",new
D9_ablation_AD_control_top1cur_deepseek_Overall,0.4031,not in paper,,Analysis/Prompt_Ablation/cell_control_AD_deepseek_run_*.xlsx,pred_top1 vs current reference,Analysis/pass5/d9_prompt_checks.py,deepseek,Overall,Top-1 recomputed from stored pred_top1 against the CURRENT reference,new
D9_ablation_AD_control_tau_deepseek_HVAC,-0.0638,not in paper,,Analysis/Prompt_Ablation/cell_control_AD_deepseek_run_*.xlsx,kendall_tau,Analysis/pass5/d9_prompt_checks.py,deepseek,HVAC,"prompt-ablation cell, 10 runs, per-run mean then mean over runs; tau is the ablation's tau-b on continuous weighted scores (all-tied scenarios dropped), collected against the reference as it stood in Jul-Aug 2026 (old shower comfort function)",new
