decision_type,question,location,square_footage,insulation,household_size,utility_budget,housing_type,outdoor_temp,house_age,appliance_age,flow_rate,alternative_1,alternative_2,alternative_3
HVAC,"I'm working from home today with 1 person, what AC temperature should I set?","Lancaster, PA",1050.0,Good,1,160,Apartment,92.0,21-30 years,,,72,76,80
HVAC,"I'm home all day with 2 people, what heat temperature should I set?","Lancaster, PA",1150.0,Good,2,195,Apartment,20.0,21-30 years,,,68,71,74
HVAC,"I'm not going anywhere with 2 people, what AC temperature should I set?","West Chester, PA",1600.0,Medium,2,255,Townhouse,90.0,31-40 years,,,77,80,83
HVAC,"I'm sticking around the house with 2 people, what heat temperature should I set?","West Chester, PA",1600.0,Medium,2,270,Townhouse,22.0,31-40 years,,,65,68,71
HVAC,"I'm gone most of the day, what AC temperature should I set?","State College, PA",1350.0,Good,1,155,Apartment,86.0,41-50 years,,,74,77,80
HVAC,"I'm planning to stay in all day with 1 person, what AC temperature should I set?","Philadelphia, PA",900.0,Poor,1,190,Apartment,93.0,41-50 years,,,78,81,84
HVAC,"I'm around all day with 1 person, what heat temperature should I set?","Philadelphia, PA",900.0,Poor,1,205,Apartment,24.0,41-50 years,,,64,67,70
HVAC,"I'm home for the day with 2 people, what AC temperature should I set?","Bethlehem, PA",1400.0,Good,2,240,Rowhouse,89.0,21-30 years,,,76,79,82
HVAC,"I'm spending the day at home with 2 people, what heat temperature should I set?","Bethlehem, PA",1400.0,Good,2,255,Rowhouse,26.0,21-30 years,,,67,70,73
HVAC,"I'm not planning to leave today with 2 people, what heat temperature should I set?","Doylestown, PA",900.0,Good,2,160,Condo,19.0,16-20 years,,,68,71,74
HVAC,"I'm out of the house for a while, what AC temperature should I set?","Allentown, PA",1250.0,Medium,1,175,Condo,90.0,1-5 years,,,76,79,82
HVAC,"I'm away most of today, what heat temperature should I set?","Allentown, PA",1350.0,Medium,2,215,Condo,21.0,1-5 years,,,66,69,72
HVAC,"I'm out running errands all day, what AC temperature should I set?","Harrisburg, PA",1050.0,Poor,5,295,Condo,94.0,1-5 years,,,76,79,82
HVAC,"I'm staying home today with 1 person, what AC temperature should I set?","Blue Bell, PA",1250.0,Good,1,210,Condo,88.0,1-5 years,,,73,76,79
HVAC,"I'm popping out for a bit, what AC temperature should I set for the rowhouse?","York, PA",1500.0,Poor,2,235,Rowhouse,92.0,1-5 years,,,78,81,84
HVAC,"I'm stepping out for a few hours, what heat temperature should I set for the rowhouse?","York, PA",1650.0,Poor,2,255,Rowhouse,20.0,1-5 years,,,65,68,71
HVAC,"I'm leaving for work shortly, what AC temperature should I set?","Scranton, PA",1650.0,Medium,2,245,Rowhouse,84.0,6-10 years,,,75,78,81
HVAC,"I'm not home today, what AC temperature should I set?","Norristown, PA",1200.0,Poor,5,300,Apartment,91.0,6-10 years,,,78,81,84
HVAC,"I'm home and not going out with 5 people, what AC temperature should I set?","Lower Merion, PA",1800.0,Good,5,325,Rowhouse,90.0,6-10 years,,,71,75,79
HVAC,"I'm out for a couple hours, what heat temperature should I set for the townhouse?","King of Prussia, PA",2200.0,Medium,5,300,Townhouse,18.0,11-15 years,,,66,69,72
HVAC,"I'm staying put today with 2 people, what heat temperature should I set?","Reading, PA",1600.0,Poor,2,265,Rowhouse,22.0,11-15 years,,,65,68,71
HVAC,"With 5 people home, what AC temperature should I set?","Wilkes-Barre, PA",1950.0,Medium,5,360,Single-family,87.0,16-20 years,,,75,78,81
HVAC,"With 6 people home, what heat temperature should I set?","Wilkes-Barre, PA",1950.0,Medium,6,390,Single-family,19.0,16-20 years,,,66,69,72
HVAC,"With 2 people home, what AC temperature should I set?","Carlisle, PA",1650.0,Poor,2,240,Townhouse,90.0,21-30 years,,,78,81,84
