Decision Type,Question,Location,Square Footage,Insulation,Household Size,Utility Budget,Housing Type,Outdoor Temp,House Age,Appliance Age,Flow rate,Alternative 1,Alternative 2,Alternative 3
HVAC,I'm heading out for the day — what AC temperature should I set?,"Chester Springs, PA",1800,Poor,1,205,Condo,88,22,,,78,80,83
HVAC,I'm working from home today with 1 person — what AC temperature should I set?,"Lancaster, PA",1050,Good,1,160,Apartment,92,27,,,72,76,80
HVAC,I'm not going anywhere with 2 people — what AC temperature should I set?,"West Chester, PA",1600,Medium,2,255,Townhouse,90,37,,,77,80,83
HVAC,I'm gone most of the day — what AC temperature should I set?,"State College, PA",1350,Good,1,155,Apartment,86,42,,,74,77,80
HVAC,I'm around all day with 1 person — what heat temperature should I set?,"Philadelphia, PA",900,Poor,1,205,Apartment,24,47,,,64,67,70
HVAC,I'm home for the day with 2 people — what AC temperature should I set?,"Bethlehem, PA",1400,Good,2,240,Rowhouse,89,23,,,76,79,82
HVAC,I'm spending the day at home with 2 people — what heat temperature should I set?,"Bethlehem, PA",1400,Good,2,255,Rowhouse,26,23,,,67,70,73
HVAC,I'm not planning to leave today with 2 people — what heat temperature should I set?,"Doylestown, PA",900,Good,2,160,Condo,19,17,,,68,71,74
HVAC,I'm out of the house for a while — what AC temperature should I set?,"Allentown, PA",1250,Medium,1,175,Condo,90,5,,,76,79,82
HVAC,I'm away most of today — what heat temperature should I set?,"Allentown, PA",1350,Medium,2,215,Condo,21,5,,,66,69,72
HVAC,I'm staying home today with 1 person — what AC temperature should I set?,"Blue Bell, PA",1250,Good,1,210,Condo,88,1,,,73,76,79
HVAC,I'm leaving for work shortly — what AC temperature should I set?,"Scranton, PA",1650,Medium,2,245,Rowhouse,84,7,,,75,78,81
HVAC,I'm not home today — what AC temperature should I set?,"Norristown, PA",1200,Poor,5,300,Apartment,91,9,,,78,81,84
HVAC,I'm out for a couple hours — what heat temperature should I set for the townhouse?,"King of Prussia, PA",2200,Medium,5,300,Townhouse,18,12,,,66,69,72
HVAC,I'm staying put today with 2 people — what heat temperature should I set?,"Reading, PA",1600,Poor,2,265,Rowhouse,22,15,,,65,68,71
HVAC,"With 5 people home, what AC temperature should I set?","Wilkes-Barre, PA",1950,Medium,5,360,Single-family,87,19,,,75,78,81
HVAC,"With 6 people home, what heat temperature should I set?","Wilkes-Barre, PA",1950,Medium,6,390,Single-family,19,19,,,66,69,72
HVAC,"With 2 people home, what AC temperature should I set?","Carlisle, PA",1650,Poor,2,240,Townhouse,90,21,,,78,81,84
HVAC,"With 3 people home, what AC temperature should I set?","Lebanon, PA",2350,Medium,3,320,Single-family,91,25,,,76,79,82
HVAC,"With 2 people home, what heat temperature should I set?","Altoona, PA",1550,Poor,2,215,Apartment,17,29,,,66,69,72
HVAC,We're heading to bed soon — what heat temperature should I set overnight?,"Stroudsburg, PA",2050,Medium,3,295,Single-family,21,102,,,66,69,72
HVAC,I'm working from home today with 4 people — what AC temperature should I set?,"Hazleton, PA",2200,Poor,4,360,Single-family,98,40,,,78,80,82
HVAC,I'm home all day with 5 people — what AC temperature should I set?,"New Castle, PA",2400,Poor,5,415,Single-family,97,35,,,79,81,83
HVAC,I'm running out for a short while — what AC temperature should I set for the townhouse?,"Coatesville, PA",1850,Medium,3,240,Townhouse,91,20,,,77,79,81
HVAC,I'm gone for a few hours — what AC temperature should I set for the townhouse?,"Oil City, PA",2100,Good,4,300,Townhouse,91,10,,,82,76,70
HVAC,I'm not going anywhere with 3 people — what AC temperature should I set?,"Carlisle, PA",2000,Poor,3,305,Single-family,102,28,,,78,80,82
HVAC,I'm out of the house all day — what AC temperature should I set?,"West Mifflin, PA",2300,Poor,4,360,Single-family,94,30,,,79,81,83
HVAC,I'm popping out for a bit — what AC temperature should I set for the single-family?,"Levittown, PA",1700,Medium,3,330,Single-family,89,32,,,78,80,82
HVAC,I'm away for the day — what heat temperature should I set?,"Stroudsburg, PA",3000,Poor,5,375,Single-family,15,28,,,60,63,67
HVAC,"With 3 people home, what AC temperature should I set?","Allentown, PA",1900,Medium,3,290,Single-family,78,15,,,73,76,79
HVAC,"With 5 people home, what AC temperature should I set?","Harrisburg, PA",2500,Medium,5,360,Single-family,82,10,,,74,78,80
HVAC,"With 4 people home, what heat temperature should I set?","Lancaster, PA",2200,Good,4,355,Single-family,48,20,,,66,69,72
HVAC,I'm planning to stay in all day with 2 people — what heat temperature should I set?,"Pittsburgh, PA",1800,Medium,2,220,Townhouse,42,30,,,65,68,72
HVAC,"With 4 people home, what heat temperature should I set?","Scranton, PA",1700,Medium,4,265,Rowhouse,40,22,,,66,70,74
HVAC,I'm around all day with 3 people — what AC temperature should I set?,"Philadelphia, PA",2000,Medium,3,310,Single-family,95,20,,,71,76,82
HVAC,I'm home for the day with 2 people — what heat temperature should I set?,"Hazleton, PA",1600,Poor,2,230,Apartment,22,40,,,65,70,76
