number_id,value,where_in_paper,quoted_context,source_file,source_sheet_or_column,computing_script,model,decision_type,basis_notes,status
AH_tau_deepseek,0.897,paper/supplementary.tex:1524,tab:overall_by_model Kendall tau A_H DeepSeek 0.897 +- 0.006,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,"per_run_metrics_all.csv kendall_tau (architecture=LLM-Parameterized_Reference_Scoring, Overall)",paper_pipeline/calculate_per_run_metrics.py (repro: Analysis/pass5/d2_reproduce_ah_numbers.py sec. A),deepseek,Overall,"per-run metric over that run's non-sentinel scenarios, then mean of 5 runs (Set A)",verified
AH_top1_deepseek,90.8,paper/supplementary.tex:1526,tab:overall_by_model Top-1 (%) A_H DeepSeek,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,top1_accuracy,paper_pipeline/calculate_per_run_metrics.py (repro: Analysis/pass5/d2_reproduce_ah_numbers.py sec. A),deepseek,Overall,"per-run metric over that run's non-sentinel scenarios, then mean of 5 runs (Set A)",verified
AH_mae_deepseek,0.045,paper/supplementary.tex:1528,tab:overall_by_model MAE A_H DeepSeek,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,overall_mae,paper_pipeline/calculate_per_run_metrics.py (repro: Analysis/pass5/d2_reproduce_ah_numbers.py sec. A),deepseek,Overall,"per-run metric over that run's non-sentinel scenarios, then mean of 5 runs (Set A)",verified
AH_success_deepseek,99.9,paper/supplementary.tex:1530,tab:overall_by_model Success rate (%) A_H DeepSeek,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,n_scenarios / n_total per run,paper_pipeline/calculate_per_run_metrics.py (repro: Analysis/pass5/d2_reproduce_ah_numbers.py sec. A),deepseek,Overall,scored scenario-runs / 975 (974/975),verified
AH_tau_gemini,0.923,paper/supplementary.tex:1524,tab:overall_by_model Kendall tau A_H Gemini 0.923 +- 0.002,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,"per_run_metrics_all.csv kendall_tau (architecture=LLM-Parameterized_Reference_Scoring, Overall)",paper_pipeline/calculate_per_run_metrics.py (repro: Analysis/pass5/d2_reproduce_ah_numbers.py sec. A),gemini,Overall,"per-run metric over that run's non-sentinel scenarios, then mean of 5 runs (Set A)",verified
AH_top1_gemini,93.1,paper/supplementary.tex:1526,tab:overall_by_model Top-1 (%) A_H Gemini,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,top1_accuracy,paper_pipeline/calculate_per_run_metrics.py (repro: Analysis/pass5/d2_reproduce_ah_numbers.py sec. A),gemini,Overall,"per-run metric over that run's non-sentinel scenarios, then mean of 5 runs (Set A)",verified
AH_mae_gemini,0.048,paper/supplementary.tex:1528,tab:overall_by_model MAE A_H Gemini,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,overall_mae,paper_pipeline/calculate_per_run_metrics.py (repro: Analysis/pass5/d2_reproduce_ah_numbers.py sec. A),gemini,Overall,"per-run metric over that run's non-sentinel scenarios, then mean of 5 runs (Set A)",verified
AH_success_gemini,100.0,paper/supplementary.tex:1530,tab:overall_by_model Success rate (%) A_H Gemini,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,n_scenarios / n_total per run,paper_pipeline/calculate_per_run_metrics.py (repro: Analysis/pass5/d2_reproduce_ah_numbers.py sec. A),gemini,Overall,scored scenario-runs / 975 (975/975),verified
AH_tau_gptoss,0.897,paper/supplementary.tex:1542,tab:overall_by_model Kendall tau A_H GPT-OSS 0.897 +- 0.007,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,"per_run_metrics_all.csv kendall_tau (architecture=LLM-Parameterized_Reference_Scoring, Overall)",paper_pipeline/calculate_per_run_metrics.py (repro: Analysis/pass5/d2_reproduce_ah_numbers.py sec. A),gptoss,Overall,"per-run metric over that run's non-sentinel scenarios, then mean of 5 runs (Set A)",verified
AH_top1_gptoss,91.7,paper/supplementary.tex:1544,tab:overall_by_model Top-1 (%) A_H GPT-OSS,Output Files <model>/LLM-Parameterized_Reference_Scoring_results_run_01..05.xlsx,top1_accuracy,paper_pipeline/calculate_per_run_metrics.py (repro: Analysis/pass5/d2_reproduce_ah_numbers.py sec. A),gptoss,Overall,"per-run metric over that run's non-sentinel scenarios, then mean of 5 runs (Set A)",verified
