scenario_id,question,location,decision_type,outdoor_temp,appliance_age,flow_rate,calculator,extraction_failed,gt_calculation_failed,alternative,energy_cost,environmental,comfort,practicality,rank,weighted_score
1,Cold day today with 2 people home. What's a good heating temperature?,"Bethlehem, PA",HVAC,26,,,HVACGroundTruthCalculator,False,False,67,9.13,9.14,6.11,7.29,3,8.2535
1,Cold day today with 2 people home. What's a good heating temperature?,"Bethlehem, PA",HVAC,26,,,HVACGroundTruthCalculator,False,False,70,8.91,8.91,10.0,7.29,1,8.885
1,Cold day today with 2 people home. What's a good heating temperature?,"Bethlehem, PA",HVAC,26,,,HVACGroundTruthCalculator,False,False,73,8.68,8.68,7.83,7.29,2,8.301499999999999
2,It's hot today and we're home as usual. What temperature should I set the AC to?,"Doylestown, PA",HVAC,91,,,HVACGroundTruthCalculator,False,False,72,5.42,5.43,5.73,9.59,3,6.110999999999999
2,It's hot today and we're home as usual. What temperature should I set the AC to?,"Doylestown, PA",HVAC,91,,,HVACGroundTruthCalculator,False,False,75,5.75,5.75,9.25,9.59,1,7.026
2,It's hot today and we're home as usual. What temperature should I set the AC to?,"Doylestown, PA",HVAC,91,,,HVACGroundTruthCalculator,False,False,79,6.18,6.18,7.59,9.59,2,6.9735
3,It's cold outside and we're home as usual. What should I set the heat to?,"Doylestown, PA",HVAC,19,,,HVACGroundTruthCalculator,False,False,68,6.69,6.69,8.46,7.29,1,7.1339999999999995
3,It's cold outside and we're home as usual. What should I set the heat to?,"Doylestown, PA",HVAC,19,,,HVACGroundTruthCalculator,False,False,71,6.35,6.35,9.25,7.29,2,7.070999999999999
3,It's cold outside and we're home as usual. What should I set the heat to?,"Doylestown, PA",HVAC,19,,,HVACGroundTruthCalculator,False,False,74,6.01,6.02,6.65,7.29,3,6.3335
4,Someone's home all day and it's hot outside. What should I set the AC to?,"Media, PA",HVAC,87,,,HVACGroundTruthCalculator,False,False,75,6.82,6.82,9.32,9.59,2,7.7355
4,Someone's home all day and it's hot outside. What should I set the AC to?,"Media, PA",HVAC,87,,,HVACGroundTruthCalculator,False,False,78,7.18,7.19,8.6,10.0,1,7.8905
4,Someone's home all day and it's hot outside. What should I set the AC to?,"Media, PA",HVAC,87,,,HVACGroundTruthCalculator,False,False,81,7.55,7.55,5.13,10.0,3,7.433499999999999
5,Someone's home all day and it's cold. What heating temperature should I use?,"Media, PA",HVAC,23,,,HVACGroundTruthCalculator,False,False,67,6.63,6.64,6.11,7.29,2,6.6285
5,Someone's home all day and it's cold. What heating temperature should I use?,"Media, PA",HVAC,23,,,HVACGroundTruthCalculator,False,False,70,6.25,6.26,10.0,7.29,1,7.1594999999999995
5,Someone's home all day and it's cold. What heating temperature should I use?,"Media, PA",HVAC,23,,,HVACGroundTruthCalculator,False,False,73,5.87,5.88,7.83,7.29,3,6.4784999999999995
6,We're all out for 8 hours in the heat. What AC setting makes sense?,"Allentown, PA",HVAC,90,,,HVACGroundTruthCalculator,False,False,76,6.87,6.87,10.0,9.59,1,7.904
6,We're all out for 8 hours in the heat. What AC setting makes sense?,"Allentown, PA",HVAC,90,,,HVACGroundTruthCalculator,False,False,79,7.21,7.22,7.83,9.59,2,7.6945
6,We're all out for 8 hours in the heat. What AC setting makes sense?,"Allentown, PA",HVAC,90,,,HVACGroundTruthCalculator,False,False,82,7.56,7.56,4.06,10.0,3,7.226
7,We're all out for 8 hours in cold weather. What heating temperature is best?,"Allentown, PA",HVAC,21,,,HVACGroundTruthCalculator,False,False,66,6.69,6.69,5.13,7.29,3,6.467999999999999
7,We're all out for 8 hours in cold weather. What heating temperature is best?,"Allentown, PA",HVAC,21,,,HVACGroundTruthCalculator,False,False,69,6.33,6.33,9.32,7.29,1,7.071999999999999
7,We're all out for 8 hours in cold weather. What heating temperature is best?,"Allentown, PA",HVAC,21,,,HVACGroundTruthCalculator,False,False,72,5.97,5.97,8.6,7.29,2,6.693999999999999
8,The house will be empty for 12 hours today. What AC temperature should I set?,"Harrisburg, PA",HVAC,94,,,HVACGroundTruthCalculator,False,False,76,4.69,4.69,10.0,9.59,1,6.487
8,The house will be empty for 12 hours today. What AC temperature should I set?,"Harrisburg, PA",HVAC,94,,,HVACGroundTruthCalculator,False,False,79,5.21,5.21,7.34,9.59,2,6.292999999999999
8,The house will be empty for 12 hours today. What AC temperature should I set?,"Harrisburg, PA",HVAC,94,,,HVACGroundTruthCalculator,False,False,82,5.73,5.73,2.61,9.59,3,5.6850000000000005
9,The house will be empty for 12 hours today. What heat setting should I use?,"Harrisburg, PA",HVAC,17,,,HVACGroundTruthCalculator,False,False,66,2.45,2.45,4.28,7.29,3,3.542
9,The house will be empty for 12 hours today. What heat setting should I use?,"Harrisburg, PA",HVAC,17,,,HVACGroundTruthCalculator,False,False,69,1.86,1.86,9.18,7.29,1,4.1385
9,The house will be empty for 12 hours today. What heat setting should I use?,"Harrisburg, PA",HVAC,17,,,HVACGroundTruthCalculator,False,False,72,1.17,1.27,8.3,7.29,2,3.5489999999999995
10,I'm working from home today and it's hot. What AC temperature should I use?,"Blue Bell, PA",HVAC,88,,,HVACGroundTruthCalculator,False,False,73,5.84,5.84,7.59,9.59,3,6.7524999999999995
10,I'm working from home today and it's hot. What AC temperature should I use?,"Blue Bell, PA",HVAC,88,,,HVACGroundTruthCalculator,False,False,76,6.17,6.17,10.0,9.59,1,7.449
10,I'm working from home today and it's hot. What AC temperature should I use?,"Blue Bell, PA",HVAC,88,,,HVACGroundTruthCalculator,False,False,79,6.5,6.5,7.59,10.0,2,7.242999999999999
11,I'm working from home and it's cold outside. What should I set the heat to?,"Blue Bell, PA",HVAC,22,,,HVACGroundTruthCalculator,False,False,68,6.84,6.84,8.46,7.29,1,7.2315
11,I'm working from home and it's cold outside. What should I set the heat to?,"Blue Bell, PA",HVAC,22,,,HVACGroundTruthCalculator,False,False,71,6.49,6.49,9.25,7.29,2,7.162
11,I'm working from home and it's cold outside. What should I set the heat to?,"Blue Bell, PA",HVAC,22,,,HVACGroundTruthCalculator,False,False,74,6.15,6.15,6.65,7.29,3,6.420999999999999
12,The house will be empty for 4 hours today. What AC temperature should I set?,"York, PA",HVAC,92,,,HVACGroundTruthCalculator,False,False,78,7.52,7.53,8.6,9.59,1,8.049999999999999
12,The house will be empty for 4 hours today. What AC temperature should I set?,"York, PA",HVAC,92,,,HVACGroundTruthCalculator,False,False,81,7.87,7.87,5.13,9.59,2,7.579999999999998
12,The house will be empty for 4 hours today. What AC temperature should I set?,"York, PA",HVAC,92,,,HVACGroundTruthCalculator,False,False,84,8.22,8.22,1.53,7.29,3,6.7425
13,The house will be empty for 4 hours today. What heat setting should I use?,"York, PA",HVAC,20,,,HVACGroundTruthCalculator,False,False,65,6.86,6.86,4.06,7.29,3,6.3645
13,The house will be empty for 4 hours today. What heat setting should I use?,"York, PA",HVAC,20,,,HVACGroundTruthCalculator,False,False,68,6.5,6.51,8.6,7.29,1,7.041999999999999
13,The house will be empty for 4 hours today. What heat setting should I use?,"York, PA",HVAC,20,,,HVACGroundTruthCalculator,False,False,71,6.15,6.15,9.32,7.29,2,6.954999999999999
14,I'll be home all day working and it's hot outside. What AC temperature makes sense?,"Phoenixville, PA",HVAC,89,,,HVACGroundTruthCalculator,False,False,76,6.84,6.84,10.0,9.59,1,7.884499999999999
14,I'll be home all day working and it's hot outside. What AC temperature makes sense?,"Phoenixville, PA",HVAC,89,,,HVACGroundTruthCalculator,False,False,79,7.2,7.2,7.83,9.59,2,7.6845
14,I'll be home all day working and it's hot outside. What AC temperature makes sense?,"Phoenixville, PA",HVAC,89,,,HVACGroundTruthCalculator,False,False,82,7.56,7.56,4.06,10.0,3,7.226
15,I'll be home all day and it's cold. What temperature should I set the thermostat to?,"Phoenixville, PA",HVAC,24,,,HVACGroundTruthCalculator,False,False,66,6.86,6.87,5.13,7.29,3,6.582
15,I'll be home all day and it's cold. What temperature should I set the thermostat to?,"Phoenixville, PA",HVAC,24,,,HVACGroundTruthCalculator,False,False,69,6.49,6.49,9.32,7.29,1,7.176
