phase,quantity,model,decision_type,metric,value,note
before,AH_pipeline,deepseek,Overall,kendall_tau,0.89732,
before,AH_pipeline,deepseek,Overall,top1,0.9076000000000001,
before,AH_pipeline,deepseek,Overall,mae,0.044840000000000005,
before,AH_pipeline,deepseek,Overall,n_scored,974,
before,AH_pipeline,deepseek,HVAC,kendall_tau,0.91974,
before,AH_pipeline,deepseek,HVAC,top1,0.9197599999999999,
before,AH_pipeline,deepseek,HVAC,mae,0.044719999999999996,
before,AH_pipeline,deepseek,HVAC,n_scored,349,
before,AH_pipeline,deepseek,Appliance,kendall_tau,0.9753999999999999,
before,AH_pipeline,deepseek,Appliance,top1,0.9846,
before,AH_pipeline,deepseek,Appliance,mae,0.04035999999999999,
before,AH_pipeline,deepseek,Appliance,n_scored,325,
before,AH_pipeline,deepseek,Shower,kendall_tau,0.78668,
before,AH_pipeline,deepseek,Shower,top1,0.8099999999999999,
before,AH_pipeline,deepseek,Shower,mae,0.049740000000000006,
before,AH_pipeline,deepseek,Shower,n_scored,300,
before,AH_pipeline,deepseek,Overall,success_rate,0.9989743589743589,
before,AH_pipeline,gemini,Overall,kendall_tau,0.9234399999999999,
before,AH_pipeline,gemini,Overall,top1,0.93126,
before,AH_pipeline,gemini,Overall,mae,0.04768,
before,AH_pipeline,gemini,Overall,n_scored,975,
before,AH_pipeline,gemini,HVAC,kendall_tau,0.9771599999999999,
before,AH_pipeline,gemini,HVAC,top1,0.9656800000000001,
before,AH_pipeline,gemini,HVAC,mae,0.029559999999999996,
before,AH_pipeline,gemini,HVAC,n_scored,350,
before,AH_pipeline,gemini,Appliance,kendall_tau,0.959,
before,AH_pipeline,gemini,Appliance,top1,0.9692000000000001,
before,AH_pipeline,gemini,Appliance,mae,0.06654,
before,AH_pipeline,gemini,Appliance,n_scored,325,
before,AH_pipeline,gemini,Shower,kendall_tau,0.8222000000000002,
before,AH_pipeline,gemini,Shower,top1,0.85,
before,AH_pipeline,gemini,Shower,mae,0.048380000000000006,
before,AH_pipeline,gemini,Shower,n_scored,300,
before,AH_pipeline,gemini,Overall,success_rate,1.0,
before,AH_pipeline,gptoss,Overall,kendall_tau,0.8974400000000001,
before,AH_pipeline,gptoss,Overall,top1,0.9173,
before,AH_pipeline,gptoss,Overall,mae,0.051879999999999996,
before,AH_pipeline,gptoss,Overall,n_scored,858,
before,AH_pipeline,gptoss,HVAC,kendall_tau,0.94284,
before,AH_pipeline,gptoss,HVAC,top1,0.9398799999999999,
before,AH_pipeline,gptoss,HVAC,mae,0.05114,
before,AH_pipeline,gptoss,HVAC,n_scored,233,
before,AH_pipeline,gptoss,Appliance,kendall_tau,0.9671800000000002,
before,AH_pipeline,gptoss,Appliance,top1,0.9876799999999999,
before,AH_pipeline,gptoss,Appliance,mae,0.051500000000000004,
before,AH_pipeline,gptoss,Appliance,n_scored,325,
before,AH_pipeline,gptoss,Shower,kendall_tau,0.7866800000000002,
before,AH_pipeline,gptoss,Shower,top1,0.82334,
before,AH_pipeline,gptoss,Shower,mae,0.05282,
before,AH_pipeline,gptoss,Shower,n_scored,300,
