item,proposal_line,file,stated,actual,status,old
A1.1,228,supp,1305,1305,OK,\caption{Ranking accuracy of $\mathcal{A}_{\text{H}}$ with LLM-extracted and dataset-media
A1.2,232,supp,"1312,1315,1318,1321",1312,OK,GPT-OSS & LLM-extracted & 0.921 & 0.943 & 0.046 \\
A1.2,233,supp,"1312,1315,1318,1321",1315,OK,Qwen & LLM-extracted & 0.897 & 0.913 & 0.066 \\
A1.2,234,supp,"1312,1315,1318,1321",1318,OK,DeepSeek & LLM-extracted & 0.904 & 0.913 & 0.040 \\
A1.2,235,supp,"1312,1315,1318,1321",1321,OK,Gemini & LLM-extracted & 0.921 & 0.928 & 0.047 \\
A1.3,238,supp,1328,1328,OK,Scenarios whose extraction failed are excluded from that condition rather than defaulted; 
A1.4,242,supp,1330,1330,OK,so each cell is tested directly with a paired Wilcoxon signed-rank test over the 195 scena
A1.5,246,supp,1332,1332,OK,"($p_{\text{Holm}} < 10^{-5}$, Cliff's $\delta$ between $-0.22$ and $-0.24$, small) and on "
A1.6,250,main,808,808,OK,Extraction therefore adds 0.24--0.28 in $\tau$ beyond what the calculator provides.
A1.7,257,main,808,808,OK,Cliff's $\delta$ from $-0.14$ to $-0.24$ on Kendall's $\tau$ and Top-1 and from 0.35 to 0.
A1.8,261,main,909,909,OK,"GPT-OSS accounts for 117 of the 120 $\mathcal{A}_{\text{H}}$ failures, most of them on HVA"
A1.8,263,main,909,909,OK,"When we recover each failed scenario from a run in which it succeeded, the reported figure"
A1.9,267,main,889,889,OK,lowers its success-weighted $\tau$ from 0.897 to 0.790 and its Top-1 from 91.7\% to 84.7\%
A1.10,278,readme,"148,154",154,OK,concentrated in HVAC scenarios
A2.1,332,main,745,745,OK,We compare the architectures with two non-LLM baselines
A2.2,336,main,749,749,OK,We run two non-LLM conditions through the calculators that $\mathcal{A}_{\text{H}}$ uses.
A2.2,338,main,749,749,OK,so it tests whether a household needs an LLM at all.
A2.3,342,main,775,775,OK,"With no LLM at all, it outranks direct and example-guided LLM scoring for every model, and"
A2.7,360,main,1048,1048,OK,"Third, a calculator driven by fixed constants, with no LLM at all, already comes close on "
A2.8,365,main,1112,1112,OK,so where a calculator exists we see no reason to use it.
A2.8,367,main,1112,1112,OK,The language model adds value only where a single average input would be badly wrong for t
A2.8,370,main,1112,1112,OK,"An LLM is worth using as an interpreter once a deterministic calculator exists,"
