scenario_id,question,location,square_footage,insulation,household_size,utility_budget,housing_type,outdoor_temp,house_age,alternative,energy_cost_score,environmental_score,comfort_score,practicality_score,mavt_score,rank,raw_kwh,raw_cost,raw_emissions
0,I'm working from home today with 1 person — what AC temperature should I set?,"Lancaster, PA",1050,Good,1,160,Apartment,92,27,72,7.36,7.38,7,8.86,7.52,3,6.41,1.22,6.54
0,I'm working from home today with 1 person — what AC temperature should I set?,"Lancaster, PA",1050,Good,1,160,Apartment,92,27,76,7.61,7.62,10,9.63,8.3945,1,6.04,1.15,6.16
0,I'm working from home today with 1 person — what AC temperature should I set?,"Lancaster, PA",1050,Good,1,160,Apartment,92,27,80,7.86,7.86,7,9.63,7.9535,2,5.67,1.08,5.78
1,I'm home all day with 2 people — what heat temperature should I set?,"Lancaster, PA",1150,Good,2,195,Apartment,20,27,68,10,9.95,8.6,7.6,9.3425,2,2.46,0.47,2.5
1,I'm home all day with 2 people — what heat temperature should I set?,"Lancaster, PA",1150,Good,2,195,Apartment,20,27,71,9.81,9.75,9.32,7.6,9.3595,1,2.75,0.52,2.81
1,I'm home all day with 2 people — what heat temperature should I set?,"Lancaster, PA",1150,Good,2,195,Apartment,20,27,74,9.61,9.56,7,7.6,8.769,3,3.05,0.58,3.11
2,I'm not going anywhere with 2 people — what AC temperature should I set?,"West Chester, PA",1600,Medium,2,255,Townhouse,90,37,77,3.99,4.11,9.32,9.63,5.944,1,11.45,2.18,11.67
2,I'm not going anywhere with 2 people — what AC temperature should I set?,"West Chester, PA",1600,Medium,2,255,Townhouse,90,37,80,4.51,4.61,7,9.63,5.811,2,10.68,2.03,10.89
2,I'm not going anywhere with 2 people — what AC temperature should I set?,"West Chester, PA",1600,Medium,2,255,Townhouse,90,37,83,5.02,5.11,4.06,8.86,5.4355,3,9.91,1.88,10.11
3,I'm sticking around the house with 2 people — what heat temperature should I set?,"West Chester, PA",1600,Medium,2,270,Townhouse,22,37,65,6.8,6.83,6.11,7.6,6.7925,3,7.26,1.38,7.4
3,I'm sticking around the house with 2 people — what heat temperature should I set?,"West Chester, PA",1600,Medium,2,270,Townhouse,22,37,68,6.31,6.36,8.6,7.6,6.979,1,7.99,1.52,8.15
3,I'm sticking around the house with 2 people — what heat temperature should I set?,"West Chester, PA",1600,Medium,2,270,Townhouse,22,37,71,5.82,5.88,9.32,7.6,6.808,2,8.72,1.66,8.89
4,I'm gone most of the day — what AC temperature should I set?,"State College, PA",1350,Good,1,155,Apartment,86,42,74,5.4,6.36,8.6,9.63,7.0105,3,7.83,1.49,8.15
4,I'm gone most of the day — what AC temperature should I set?,"State College, PA",1350,Good,1,155,Apartment,86,42,77,6.36,6.62,9.32,10,7.589,1,7.43,1.41,7.73
4,I'm gone most of the day — what AC temperature should I set?,"State College, PA",1350,Good,1,155,Apartment,86,42,80,6.95,6.89,7,10,7.3965,2,7.03,1.33,7.31
5,I'm planning to stay in all day with 1 person — what AC temperature should I set?,"Philadelphia, PA",900,Poor,1,190,Apartment,93,47,78,5.36,5.66,8.6,9.63,6.7535,1,9.07,1.72,9.25
5,I'm planning to stay in all day with 1 person — what AC temperature should I set?,"Philadelphia, PA",900,Poor,1,190,Apartment,93,47,81,5.98,6.04,6.11,9.63,6.5745,2,8.48,1.61,8.65
5,I'm planning to stay in all day with 1 person — what AC temperature should I set?,"Philadelphia, PA",900,Poor,1,190,Apartment,93,47,84,6.37,6.42,2.86,7.6,5.87,3,7.9,1.5,8.05
6,I'm around all day with 1 person — what heat temperature should I set?,"Philadelphia, PA",900,Poor,1,205,Apartment,24,47,64,7.28,7.3,5.13,7.6,6.905,3,6.53,1.24,6.66
6,I'm around all day with 1 person — what heat temperature should I set?,"Philadelphia, PA",900,Poor,1,205,Apartment,24,47,67,6.82,6.85,7.83,7.6,7.1495,2,7.22,1.37,7.36
6,I'm around all day with 1 person — what heat temperature should I set?,"Philadelphia, PA",900,Poor,1,205,Apartment,24,47,70,6.36,6.41,10,7.6,7.2915,1,7.92,1.5,8.07
7,I'm home for the day with 2 people — what AC temperature should I set?,"Bethlehem, PA",1400,Good,2,240,Rowhouse,89,23,76,6.26,6.31,10,9.63,7.531,1,8.06,1.53,8.22
7,I'm home for the day with 2 people — what AC temperature should I set?,"Bethlehem, PA",1400,Good,2,240,Rowhouse,89,23,79,6.56,6.6,7.83,9.63,7.2885,2,7.62,1.45,7.77
7,I'm home for the day with 2 people — what AC temperature should I set?,"Bethlehem, PA",1400,Good,2,240,Rowhouse,89,23,82,6.85,6.88,5.13,10,6.989,3,7.18,1.37,7.32
8,I'm spending the day at home with 2 people — what heat temperature should I set?,"Bethlehem, PA",1400,Good,2,255,Rowhouse,26,23,67,9.48,9.43,7.83,7.6,8.8505,2,3.26,0.62,3.32
8,I'm spending the day at home with 2 people — what heat temperature should I set?,"Bethlehem, PA",1400,Good,2,255,Rowhouse,26,23,70,9.19,9.15,10,7.6,9.0995,1,3.68,0.7,3.76
8,I'm spending the day at home with 2 people — what heat temperature should I set?,"Bethlehem, PA",1400,Good,2,255,Rowhouse,26,23,73,8.9,8.87,7.83,7.6,8.4805,3,4.11,0.78,4.19
9,I'm not planning to leave today with 2 people — what heat temperature should I set?,"Doylestown, PA",900,Good,2,160,Condo,19,17,68,10,10,8.6,7.6,9.36,2,1.42,0.27,1.44
9,I'm not planning to leave today with 2 people — what heat temperature should I set?,"Doylestown, PA",900,Good,2,160,Condo,19,17,71,10,10,9.32,7.6,9.504,1,1.61,0.31,1.64
9,I'm not planning to leave today with 2 people — what heat temperature should I set?,"Doylestown, PA",900,Good,2,160,Condo,19,17,74,10,10,7,7.6,9.04,3,1.8,0.34,1.84
10,I'm out of the house for a while — what AC temperature should I set?,"Allentown, PA",1250,Medium,1,175,Condo,90,5,76,8.58,8.5,10,9.63,8.9935,1,4.59,0.87,4.78
10,I'm out of the house for a while — what AC temperature should I set?,"Allentown, PA",1250,Medium,1,175,Condo,90,5,79,8.76,8.67,7.83,9.63,8.673,2,4.33,0.82,4.51
10,I'm out of the house for a while — what AC temperature should I set?,"Allentown, PA",1250,Medium,1,175,Condo,90,5,82,8.93,8.84,5.13,10,8.299,3,4.07,0.77,4.24
11,I'm away most of today — what heat temperature should I set?,"Allentown, PA",1350,Medium,2,215,Condo,21,5,66,10,9.95,7,7.6,9.0225,3,2.41,0.46,2.5
11,I'm away most of today — what heat temperature should I set?,"Allentown, PA",1350,Medium,2,215,Condo,21,5,69,9.87,9.77,9.32,7.6,9.3845,1,2.67,0.51,2.78
11,I'm away most of today — what heat temperature should I set?,"Allentown, PA",1350,Medium,2,215,Condo,21,5,72,9.69,9.59,8.6,7.6,9.1235,2,2.94,0.56,3.06
