Question,Location,Square Footage,Insulation,Household Size,Utility Budget,Housing Type,Outdoor Temp,House Age,R-Value,HVAC Age,SEER,Occupancy Context,Alternative 1,Alternative 2,Alternative 3
What temperature should I set my AC to today?,"Chester Springs, PA",1800,Poor,3,$200 ,Condo,88,22,11,18,12,,78,80,83
What temperature should I set my heat to today?,"Chester Springs, PA",1800,Poor,3,$200 ,Condo,25,22,11,18,12,,65,68,71
What temperature should I set my AC to today?,"Lancaster, PA",2500,Good,4,$500 ,Single-family,92,27,19,20,13,,72,76,80
What temperature should I set my heat to today?,"Lancaster, PA",2500,Good,4,$500 ,Single-family,20,27,19,20,13,,68,71,74
What temperature should I set my AC to today?,"Pittsburgh, PA",2000,Medium,2,$250 ,Single-family,85,32,13,25,12,,75,78,81
What temperature should I set my heat to today?,"Pittsburgh, PA",2000,Medium,2,$250 ,Single-family,28,32,13,25,12,,66,69,72
What temperature should I set my AC to today?,"West Chester, PA",1600,Medium,2,$220 ,Townhouse,90,37,13,30,11,,77,80,83
What temperature should I set my heat to today?,"West Chester, PA",1600,Medium,2,$220 ,Townhouse,22,37,13,30,11,,65,68,71
What temperature should I set my AC to today?,"State College, PA",2100,Good,3,$300 ,Single-family,86,42,19,35,10,,74,77,80
What temperature should I set my heat to today?,"State College, PA",2100,Good,3,$300 ,Single-family,18,42,19,35,10,,66,69,72
What temperature should I set my AC to today?,"Philadelphia, PA",900,Poor,1,$150 ,Apartment,93,47,11,40,9,,78,81,84
What temperature should I set my heat to today?,"Philadelphia, PA",900,Poor,1,$150 ,Apartment,24,47,11,40,9,,64,67,70
What temperature should I set my AC to today?,"Erie, PA",1800,Medium,4,$260 ,Single-family,82,21,13,22,13,,74,77,80
What temperature should I set my heat to today?,"Erie, PA",1800,Medium,4,$260 ,Single-family,15,21,13,22,13,,66,69,72
What temperature should I set my AC to today?,"Bethlehem, PA",1400,Good,2,$200 ,Rowhouse,89,23,19,23,13,,76,79,82
What temperature should I set my heat to today?,"Bethlehem, PA",1400,Good,2,$200 ,Rowhouse,26,23,19,23,13,,67,70,73
What temperature should I set my AC to today?,"Doylestown, PA",2300,Good,4,$350 ,Single-family,91,17,19,12,16,,72,75,79
What temperature should I set my heat to today?,"Doylestown, PA",2300,Good,4,$350 ,Single-family,19,17,19,12,16,,68,71,74
What temperature should I set my AC to today?,"Media, PA",1700,Medium,3,$240 ,Twin,87,12,13,8,15,,75,78,81
What temperature should I set my heat to today?,"Media, PA",1700,Medium,3,$240 ,Twin,23,12,13,8,15,,67,70,73
What temperature should I set my AC to today?,"Allentown, PA",1900,Medium,3,$280 ,Single-family,90,5,13,5,16,,76,79,82
What temperature should I set my heat to today?,"Allentown, PA",1900,Medium,3,$280 ,Single-family,21,5,13,5,16,,66,69,72
What temperature should I set my AC to today?,"Harrisburg, PA",2600,Poor,5,$320 ,Single-family,94,1,11,1,18,,76,79,82
What temperature should I set my heat to today?,"Harrisburg, PA",2600,Poor,5,$320 ,Single-family,17,1,11,1,18,,66,69,72
What temperature should I set my AC to today?,"Blue Bell, PA",2800,Good,4,$450 ,Single-family,88,1,19,2,18,,73,76,79
What temperature should I set my heat to today?,"Blue Bell, PA",2800,Good,4,$450 ,Single-family,22,1,19,2,18,,68,71,74
What temperature should I set my AC to today?,"York, PA",1500,Poor,2,$180 ,Single-family,92,4,11,4,17,,78,81,84
What temperature should I set my heat to today?,"York, PA",1500,Poor,2,$180 ,Single-family,20,4,11,4,17,,65,68,71
What temperature should I set my AC to today?,"Phoenixville, PA",2000,Medium,3,$260 ,Single-family,89,5,13,5,16,,76,79,82
What temperature should I set my heat to today?,"Phoenixville, PA",2000,Medium,3,$260 ,Single-family,24,5,13,5,16,,66,69,72
What temperature should I set my AC to today?,"Scranton, PA",1750,Medium,2,$210 ,Single-family,84,7,13,7,16,,75,78,81
What temperature should I set my heat to today?,"Scranton, PA",1750,Medium,2,$210 ,Single-family,16,7,13,7,16,,66,69,72
What temperature should I set my AC to today?,"Norristown, PA",1200,Poor,3,$170 ,Apartment,91,9,11,9,15,,78,81,84
What temperature should I set my heat to today?,"Norristown, PA",1200,Poor,3,$170 ,Apartment,19,9,11,9,15,,65,68,71
What temperature should I set my AC to today?,"Lower Merion, PA",3000,Good,4,$600 ,Single-family,90,10,19,11,16,,71,75,79
What temperature should I set my heat to today?,"Lower Merion, PA",3000,Good,4,$600 ,Single-family,23,10,19,11,16,,68,71,74
What temperature should I set my AC to today?,"King of Prussia, PA",2200,Medium,5,$400 ,Townhouse,93,12,13,12,15,,75,78,81
What temperature should I set my heat to today?,"King of Prussia, PA",2200,Medium,5,$400 ,Townhouse,18,12,13,12,15,,66,69,72
What temperature should I set my AC to today?,"Pottstown, PA",1850,Medium,3,$230 ,Single-family,88,13,13,14,15,,76,79,82
What temperature should I set my heat to today?,"Pottstown, PA",1850,Medium,3,$230 ,Single-family,21,13,13,14,15,,66,69,72
What temperature should I set my AC to today?,"Exton, PA",2400,Good,4,$380 ,Single-family,91,14,19,14,16,,73,76,79
What temperature should I set my heat to today?,"Exton, PA",2400,Good,4,$380 ,Single-family,20,14,19,14,16,,67,70,73
What temperature should I set my AC to today?,"Reading, PA",1600,Poor,2,$190 ,Rowhouse,92,15,11,16,14,,78,81,84
What temperature should I set my heat to today?,"Reading, PA",1600,Poor,2,$190 ,Rowhouse,22,15,11,16,14,,65,68,71
What temperature should I set my AC to today?,"Newtown, PA",2100,Good,3,$340 ,Single-family,89,17,19,17,15,,74,77,80
What temperature should I set my heat to today?,"Newtown, PA",2100,Good,3,$340 ,Single-family,24,17,19,17,15,,67,70,73
What temperature should I set my AC to today?,"Wilkes-Barre, PA",1950,Medium,4,$270 ,Single-family,87,19,13,19,14,,75,78,81
What temperature should I set my heat to today?,"Wilkes-Barre, PA",1950,Medium,4,$270 ,Single-family,19,19,13,19,14,,66,69,72
What temperature should I set my AC to today?,"Carlisle, PA",1650,Poor,2,$195 ,Townhouse,90,21,11,25,12,,78,81,84
What temperature should I set my heat to today?,"Carlisle, PA",1650,Poor,2,$195 ,Townhouse,23,21,11,25,12,,65,68,71
What temperature should I set my AC to today?,"Lebanon, PA",2350,Medium,3,$310 ,Single-family,91,25,13,26,12,,76,79,82
What temperature should I set my heat to today?,"Lebanon, PA",2350,Medium,3,$310 ,Single-family,21,25,13,26,12,,66,69,72
What temperature should I set my AC to today?,"Gettysburg, PA",1800,Good,5,$380 ,Single-family,88,26,19,28,11,,74,77,80
What temperature should I set my heat to today?,"Gettysburg, PA",1800,Good,5,$380 ,Single-family,20,26,19,28,11,,67,70,73
What temperature should I set my AC to today?,"Chambersburg, PA",2450,Medium,4,$340 ,Single-family,92,28,13,29,11,,75,78,81
What temperature should I set my heat to today?,"Chambersburg, PA",2450,Medium,4,$340 ,Single-family,18,28,13,29,11,,67,70,73
What temperature should I set my AC to today?,"Altoona, PA",1550,Poor,2,$175 ,Apartment,85,29,11,30,11,,76,79,82
What temperature should I set my heat to today?,"Altoona, PA",1550,Poor,2,$175 ,Apartment,17,29,11,30,11,,66,69,72
What temperature should I set my AC to today?,"Stroudsburg, PA",2050,Medium,3,$270 ,Single-family,89,102,13,95,8,,76,79,82
What temperature should I set my heat to today?,"Stroudsburg, PA",2050,Medium,3,$270 ,Single-family,21,102,13,95,8,,66,69,72
,"Hazleton, PA",1900,Medium,3,$250 ,Single-family,95,22,13,23,13,,,,
,"Monroeville, PA",2150,Good,2,$290 ,Condo,88,4,19,4,17,,,,
Should I adjust my thermostat setpoint overnight while sleeping?,"New Castle, PA",1700,Poor,3,$205 ,Single-family,92,15,11,16,14,,,,
,"Butler, PA",2000,Medium,4,$285 ,Single-family,98,25,13,27,12,,,,
,"Coatesville, PA",1450,Good,2,$225 ,Townhouse,91,8,19,9,16,,,,
,"Uniontown, PA",2300,Poor,3,$220 ,Single-family,89,1,11,1,18,,,,
Should I raise my AC setpoint during the day when no one is home?,"Indiana, PA",1850,Medium,2,$240 ,Apartment,93,30,13,31,11,,Off (let drift to 88),82,78
,"Meadville, PA",2100,Good,4,$365 ,Single-family,90,5,19,6,17,,,,
What overnight temperature should I set?,"Greensburg, PA",1950,Medium,3,$275 ,Single-family,15,11,13,12,15,,70,64,58
What's the best thermostat setting for working from home all day?,"DuBois, PA",1750,Poor,4,$230 ,Single-family,88,21,11,21,13,,75,78,80
,"Oil City, PA",1600,Medium,3,$210 ,Townhouse,22,3,13,3,17,,,,
,"Hazleton, PA",1900,Medium,3,$250 ,Single-family,12,6,13,6,16,,,,
,"Monroeville, PA",2150,Good,2,$290 ,Condo,85,13,19,14,16,,,,
What's the most efficient overnight heating setpoint for my family?,"New Castle, PA",1700,Poor,3,$205 ,Single-family,18,1,11,2,18,,66,68,70
Should I turn off the AC when opening windows in the evening?,"Butler, PA",2000,Medium,4,$285 ,Single-family,78,7,13,8,15,,Off (open windows),78 with windows closed,75 with windows closed
,"Coatesville, PA",1450,Good,2,$225 ,Townhouse,8,4,19,5,17,,,,
Should I program my thermostat differently for days when kids are home from school?,"Uniontown, PA",2300,Poor,3,$220 ,Single-family,86,1,11,1,18,,75,78,80
,"Indiana, PA",1850,Medium,2,$240 ,Apartment,10,7,13,8,15,,,,
Should I use setback temperatures during my afternoon work shift?,"Meadville, PA",2100,Good,4,$365 ,Single-family,25,4,19,5,17,,68,70,72
,"Greensburg, PA",1950,Medium,3,$275 ,Single-family,90,1,13,1,18,,,,
,"DuBois, PA",1750,Poor,4,$230 ,Single-family,91,102,11,90,8,,,,
