scenario_id,set,location,outdoor_temp,mode,question_wording,question
0,test,"Lancaster, PA",92,cool,cool,"I'm working from home today with 1 person, what AC temperature should I set?"
1,test,"Lancaster, PA",20,heat,heat,"I'm home all day with 2 people, what heat temperature should I set?"
2,test,"West Chester, PA",90,cool,cool,"I'm not going anywhere with 2 people, what AC temperature should I set?"
3,test,"West Chester, PA",22,heat,heat,"I'm sticking around the house with 2 people, what heat temperature should I set?"
4,test,"State College, PA",86,cool,cool,"I'm gone most of the day, what AC temperature should I set?"
5,test,"Philadelphia, PA",93,cool,cool,"I'm planning to stay in all day with 1 person, what AC temperature should I set?"
6,test,"Philadelphia, PA",24,heat,heat,"I'm around all day with 1 person, what heat temperature should I set?"
7,test,"Bethlehem, PA",89,cool,cool,"I'm home for the day with 2 people, what AC temperature should I set?"
8,test,"Bethlehem, PA",26,heat,heat,"I'm spending the day at home with 2 people, what heat temperature should I set?"
9,test,"Doylestown, PA",19,heat,heat,"I'm not planning to leave today with 2 people, what heat temperature should I set?"
10,test,"Allentown, PA",90,cool,cool,"I'm out of the house for a while, what AC temperature should I set?"
11,test,"Allentown, PA",21,heat,heat,"I'm away most of today, what heat temperature should I set?"
12,test,"Harrisburg, PA",94,cool,cool,"I'm out running errands all day, what AC temperature should I set?"
13,test,"Blue Bell, PA",88,cool,cool,"I'm staying home today with 1 person, what AC temperature should I set?"
14,test,"York, PA",92,cool,cool,"I'm popping out for a bit, what AC temperature should I set for the rowhouse?"
15,test,"York, PA",20,heat,heat,"I'm stepping out for a few hours, what heat temperature should I set for the rowhouse?"
16,test,"Scranton, PA",84,cool,cool,"I'm leaving for work shortly, what AC temperature should I set?"
17,test,"Norristown, PA",91,cool,cool,"I'm not home today, what AC temperature should I set?"
18,test,"Lower Merion, PA",90,cool,cool,"I'm home and not going out with 5 people, what AC temperature should I set?"
19,RAG,"King of Prussia, PA",93,cool,cool,"I'm heading out for a quick errand, what AC temperature should I set for the townhouse?"
20,test,"King of Prussia, PA",18,heat,heat,"I'm out for a couple hours, what heat temperature should I set for the townhouse?"
21,test,"Reading, PA",22,heat,heat,"I'm staying put today with 2 people, what heat temperature should I set?"
22,test,"Wilkes-Barre, PA",87,cool,cool,"With 5 people home, what AC temperature should I set?"
23,test,"Wilkes-Barre, PA",19,heat,heat,"With 6 people home, what heat temperature should I set?"
24,test,"Carlisle, PA",90,cool,cool,"With 2 people home, what AC temperature should I set?"
25,RAG,"Carlisle, PA",23,heat,heat,"With 2 people home, what heat temperature should I set?"
26,test,"Lebanon, PA",91,cool,cool,"With 3 people home, what AC temperature should I set?"
27,RAG,"Lebanon, PA",21,heat,heat,"With 3 people home, what heat temperature should I set?"
28,RAG,"Gettysburg, PA",88,cool,cool,"With 5 people home, what AC temperature should I set?"
29,test,"Altoona, PA",17,heat,heat,"With 2 people home, what heat temperature should I set?"
30,test,"Stroudsburg, PA",21,heat,heat,"We're heading to bed soon, what heat temperature should I set overnight?"
31,test,"Hazleton, PA",98,cool,cool,"I'm working from home today with 4 people, what AC temperature should I set?"
32,RAG,"Monroeville, PA",92,cool,cool,"With 3 people home, what AC temperature should I set?"
33,test,"New Castle, PA",97,cool,cool,"I'm home all day with 5 people, what AC temperature should I set?"
34,test,"Coatesville, PA",91,cool,cool,"I'm running out for a short while, what AC temperature should I set for the townhouse?"
35,RAG,"Indiana, PA",18,heat,heat,"With 3 people home, what heat temperature should I set?"
36,RAG,"DuBois, PA",89,cool,cool,"With 3 people home, what AC temperature should I set?"
37,test,"Oil City, PA",91,cool,cool,"I'm gone for a few hours, what AC temperature should I set for the townhouse?"
38,RAG,"Reading, PA",20,heat,heat,"With 3 people home, what heat temperature should I set?"
39,test,"Carlisle, PA",102,cool,cool,"I'm not going anywhere with 3 people, what AC temperature should I set?"
40,RAG,"Quakertown, PA",22,heat,heat,"We're just getting in for the night, what heat temperature should I set overnight?"
41,test,"West Mifflin, PA",94,cool,cool,"I'm out of the house all day, what AC temperature should I set?"
42,RAG,"Wilkes-Barre, PA",17,heat,heat,"We're done for the day, what heat temperature should I set overnight?"
43,test,"Levittown, PA",89,cool,cool,"I'm popping out for a bit, what AC temperature should I set for the single-family?"
44,test,"Stroudsburg, PA",15,heat,heat,"I'm away for the day, what heat temperature should I set?"
45,test,"Allentown, PA",78,cool,cool,"With 3 people home, what AC temperature should I set?"
46,test,"Harrisburg, PA",82,cool,cool,"With 5 people home, what AC temperature should I set?"
47,RAG,"West Chester, PA",79,cool,cool,"I'm sticking around the house with 2 people, what AC temperature should I set?"
48,test,"Lancaster, PA",48,heat,heat,"With 4 people home, what heat temperature should I set?"
49,test,"Pittsburgh, PA",42,heat,heat,"I'm planning to stay in all day with 2 people, what heat temperature should I set?"
50,test,"Scranton, PA",40,heat,heat,"With 4 people home, what heat temperature should I set?"
51,test,"Philadelphia, PA",95,cool,cool,"I'm around all day with 3 people, what AC temperature should I set?"
52,RAG,"Reading, PA",90,cool,cool,"With 4 people home, what AC temperature should I set?"
53,RAG,"King of Prussia, PA",92,cool,cool,"I'm heading out and won't be back for hours, what AC temperature should I set?"
54,RAG,"Williamsport, PA",18,heat,heat,"With 3 people home, what heat temperature should I set?"
55,test,"Hazleton, PA",22,heat,heat,"I'm home for the day with 2 people, what heat temperature should I set?"
56,test,"Media, PA",92,cool,cool,"I'm going to be out all day, what AC temperature should I set?"
57,test,"Newtown, PA",88,cool,cool,"I'm leaving the house for most of the day, what AC temperature should I set?"
58,test,"Lower Merion, PA",84,cool,cool,"We're winding down for the night, what AC temperature should I set overnight?"
59,test,"Meadville, PA",12,heat,heat,"We're calling it a night, what heat temperature should I set overnight?"
60,test,"Lebanon, PA",20,heat,heat,"We're about to turn in, what heat temperature should I set overnight?"
61,test,"Exton, PA",22,heat,heat,"With 3 people home, what heat temperature should I set?"
62,test,"Gettysburg, PA",28,heat,heat,"We're heading to bed soon, what heat temperature should I set overnight?"
63,RAG,"Stroudsburg, PA",77,cool,cool,"I'm spending the day at home with 3 people, what AC temperature should I set?"
64,RAG,"Lebanon, PA",44,heat,heat,"I'm heading out for the day, what heat temperature should I set?"
65,test,"Norristown, PA",94,cool,cool,"I'm not planning to leave today with 4 people, what AC temperature should I set?"
66,RAG,"DuBois, PA",10,heat,heat,"With 2 people home, what heat temperature should I set?"
67,test,"Hazleton, PA",91,cool,cool,"With 3 people home, what AC temperature should I set?"
68,test,"Blue Bell, PA",68,cool,cool,"With 3 people home, what AC temperature should I set?"
69,test,"Scranton, PA",8,heat,heat,"I'm staying home today with 2 people, what heat temperature should I set?"
70,RAG,"Erie, PA",5,heat,heat,"We're just getting in for the night, what heat temperature should I set overnight?"
71,test,"Allentown, PA",42,heat,heat,"I'm home and not going out with 4 people, what heat temperature should I set?"
72,RAG,"King of Prussia, PA",50,heat,heat,"I'm stepping out for a few hours, what heat temperature should I set for the condo?"
73,RAG,"Reading, PA",54,heat,heat,"With 3 people home, what heat temperature should I set?"
74,RAG,"State College, PA",62,heat,heat,"I'm staying put today with 1 person, what heat temperature should I set?"
75,test,"Harrisburg, PA",68,cool,cool,"I'm out of the house for a while, what AC temperature should I set?"
76,RAG,"York, PA",59,heat,heat,"We're done for the day, what heat temperature should I set overnight?"
77,RAG,"Pittsburgh, PA",72,cool,cool,"With 4 people home, what AC temperature should I set?"
78,test,"Bethlehem, PA",78,cool,cool,"I'm working from home today with 2 people, what AC temperature should I set?"
79,RAG,"Lancaster, PA",82,cool,cool,"I'm away most of today, what AC temperature should I set?"
80,RAG,"Wilkes-Barre, PA",80,cool,cool,"With 1 person home, what AC temperature should I set?"
81,RAG,"West Chester, PA",83,cool,cool,"I'm out running errands all day, what AC temperature should I set?"
82,test,"Media, PA",96,cool,cool,"I'm home all day with 4 people, what AC temperature should I set?"
83,RAG,"Norristown, PA",98,cool,cool,"I'm leaving for work shortly, what AC temperature should I set?"
84,test,"Philadelphia, PA",90,cool,cool,"I'm not going anywhere with 5 people, what AC temperature should I set?"
85,test,"Altoona, PA",29,heat,heat,"I'm heading out for a quick errand, what heat temperature should I set for the single-family?"
86,test,"Bethlehem, PA",24,heat,heat,"I'm sticking around the house with 1 person, what heat temperature should I set?"
87,RAG,"Erie, PA",18,heat,heat,"I'm gone for the entire workday, what heat temperature should I set?"
88,RAG,"Pittsburgh, PA",87,cool,cool,"I'm working from home today with 3 people, what AC temperature should I set?"
89,RAG,"West Mifflin, PA",22,heat,heat,"I'm heading out for the day, what heat temperature should I set?"
90,RAG,"Pittsburgh, PA",92,cool,cool,"With 4 people home, what AC temperature should I set?"
91,test,"Meadville, PA",25,heat,heat,"I'm staying in today with 3 people, what heat temperature should I set?"
92,test,"Greensburg, PA",18,heat,heat,"With 4 people home, what heat temperature should I set?"
93,test,"McKeesport, PA",14,heat,heat,"I'm heading out for the day, what heat temperature should I set?"
94,test,"Monroeville, PA",28,heat,heat,"I'm around all day with 2 people, what heat temperature should I set?"
95,test,"New Castle, PA",10,heat,heat,"We're calling it a night, what heat temperature should I set overnight?"
96,test,"Bradford, PA",5,heat,heat,"I'm not going anywhere with 3 people, what heat temperature should I set?"
97,test,"Oil City, PA",22,heat,heat,"I'm stepping out for a few hours, what heat temperature should I set?"
98,test,"Uniontown, PA",12,heat,heat,"With 5 people home, what heat temperature should I set?"
99,test,"Gettysburg, PA",89,cool,cool,"I'm working from home today with 2 people, what AC temperature should I set?"
100,test,"Chambersburg, PA",91,cool,cool,"I'm out running errands all day, what AC temperature should I set?"
101,RAG,"Philadelphia, PA",12,heat,heat,"I'm gone most of the day, what heat temperature should I set?"
102,RAG,"Pittsburgh, PA",87,cool,cool,"We're winding down for the night, what AC temperature should I set overnight?"
103,RAG,"Harrisburg, PA",34,heat,heat,I'm setting the thermostat for bedtime during a spring cold snap. What heat temperature is best for sleeping?
104,RAG,"York, PA",86,cool,cool,It's a very humid summer night and we're going to sleep. What AC temperature should I use?
