scenario_id,question,location,utility_budget,appliance,appliance_age,housing_type,household_size,kwh_per_cycle,alternative,energy_cost_score,environmental_score,comfort_score,practicality_score,mavt_score,rank,raw_cost,raw_emissions
1,"It's mid-morning, about 10 and I need to run the dryer. When should I start it?","Johnstown, PA",260,dryer,6,Townhouse,3,2.8,9:00 AM,8.33,2.14,9.46,9.15,6.512500000000001,1,0.2016,2.915
1,"It's mid-morning, about 10 and I need to run the dryer. When should I start it?","Johnstown, PA",260,dryer,6,Townhouse,3,2.8,12:00 PM,8.33,2.14,8.9,8.23,6.2625,2,0.2016,2.915
1,"It's mid-morning, about 10 and I need to run the dryer. When should I start it?","Johnstown, PA",260,dryer,6,Townhouse,3,2.8,4:00 PM,5.46,2.14,6.74,5.4,4.545,3,0.518,2.915
2,"It's just past 9 AM, when should I run the dryer?","Meadville, PA",320,dryer,8,Single-family,4,3.5,9:00 AM,7.87,0.0,10.0,10.0,5.861,1,0.252,3.643
2,"It's just past 9 AM, when should I run the dryer?","Meadville, PA",320,dryer,8,Single-family,4,3.5,1:00 PM,7.87,0.0,7.81,6.66,4.922,2,0.252,3.643
2,"It's just past 9 AM, when should I run the dryer?","Meadville, PA",320,dryer,8,Single-family,4,3.5,5:00 PM,4.28,0.0,5.92,4.31,3.1145,3,0.6475,3.643
3,It's just past 9 AM and I need to run the washing machine. When should I start it?,"Lancaster, PA",150,washing_machine,6,Single-family,4,0.35,9:00 AM,9.84,9.65,10.0,10.0,9.8295,1,0.035,0.364
3,It's just past 9 AM and I need to run the washing machine. When should I start it?,"Lancaster, PA",150,washing_machine,6,Single-family,4,0.35,3:00 PM,9.71,9.65,6.92,5.61,8.516,2,0.049,0.364
3,It's just past 9 AM and I need to run the washing machine. When should I start it?,"Lancaster, PA",150,washing_machine,6,Single-family,4,0.35,12:00 AM,9.84,9.71,3.83,1.51,7.343,3,0.035,0.342
4,"It's late morning, around 11 and I need to run the dishwasher. When should I start it?","Norristown, PA",175,dishwasher,3,Apartment,2,1.1,11:00 AM,9.4,7.35,10.0,10.0,8.8925,1,0.0836,1.145
4,"It's late morning, around 11 and I need to run the dishwasher. When should I start it?","Norristown, PA",175,dishwasher,3,Apartment,2,1.1,4:00 PM,6.96,7.35,7.83,6.69,7.23,3,0.352,1.145
4,"It's late morning, around 11 and I need to run the dishwasher. When should I start it?","Norristown, PA",175,dishwasher,3,Apartment,2,1.1,8:00 PM,9.4,7.35,6.29,4.78,7.3675,2,0.0836,1.145
5,It's just past 9 AM and I need to run the washing machine. When should I start it?,"Reading, PA",150,washing_machine,7,Townhouse,3,0.45,9:00 AM,9.75,9.34,10.0,10.0,9.693999999999999,1,0.045,0.468
5,It's just past 9 AM and I need to run the washing machine. When should I start it?,"Reading, PA",150,washing_machine,7,Townhouse,3,0.45,8:00 PM,9.75,9.34,4.71,2.95,7.578499999999999,2,0.045,0.468
5,It's just past 9 AM and I need to run the washing machine. When should I start it?,"Reading, PA",150,washing_machine,7,Townhouse,3,0.45,12:00 AM,9.75,9.43,2.86,1.51,7.023999999999999,3,0.045,0.439
6,"It's just past 9 AM, when should I run the dryer?","McKeesport, PA",200,dryer,6,Townhouse,3,2.8,9:00 AM,6.66,2.14,10.0,10.0,6.247,1,0.385,2.915
6,"It's just past 9 AM, when should I run the dryer?","McKeesport, PA",200,dryer,6,Townhouse,3,2.8,2:00 PM,6.66,2.14,7.29,6.04,5.111,2,0.385,2.915
6,"It's just past 9 AM, when should I run the dryer?","McKeesport, PA",200,dryer,6,Townhouse,3,2.8,11:00 PM,6.66,2.68,2.35,2.13,3.7255,3,0.385,2.733
7,"It's late afternoon, around 4 and I need to run the washing machine. When should I start it?","State College, PA",150,washing_machine,2,Apartment,2,0.2,4:00 PM,9.9,10.0,10.0,10.0,9.97,1,0.028,0.208
7,"It's late afternoon, around 4 and I need to run the washing machine. When should I start it?","State College, PA",150,washing_machine,2,Apartment,2,0.2,9:00 AM,9.97,10.0,7.0,5.71,8.7475,2,0.02,0.208
7,"It's late afternoon, around 4 and I need to run the washing machine. When should I start it?","State College, PA",150,washing_machine,2,Apartment,2,0.2,12:00 AM,9.97,10.0,3.59,2.86,7.638,3,0.02,0.195
8,"It's around 5 in the evening, when should I run the washing machine?","Harrisburg, PA",120,washing_machine,1,Single-family,3,0.23,5:00 PM,9.86,10.0,10.0,10.0,9.958,1,0.0322,0.239
8,"It's around 5 in the evening, when should I run the washing machine?","Harrisburg, PA",120,washing_machine,1,Single-family,3,0.23,9:00 AM,9.95,10.0,5.92,4.64,8.365,3,0.023,0.239
8,"It's around 5 in the evening, when should I run the washing machine?","Harrisburg, PA",120,washing_machine,1,Single-family,3,0.23,10:00 PM,9.95,10.0,6.01,5.19,8.465499999999999,2,0.023,0.239
