scenario_id,question,location,square_footage,insulation,household_size,utility_budget,housing_type,outdoor_temp,house_age,r_value,seer,hvac_age,alternative,energy_cost_score,environmental_score,comfort_score,practicality_score,mavt_score,rank,raw_kwh,raw_cost,raw_emissions
1,"I'm heading out for a quick errand, what AC temperature should I set for the townhouse?","King of Prussia, PA",2200,Medium,5,285,Townhouse,93,12,17,15,12,75,3.99,3.95,9.18,9.63,5.860000000000001,2,11.46,2.18,11.93
1,"I'm heading out for a quick errand, what AC temperature should I set for the townhouse?","King of Prussia, PA",2200,Medium,5,285,Townhouse,93,12,17,15,12,78,4.4,4.36,8.3,9.63,5.9505,1,10.85,2.06,11.29
1,"I'm heading out for a quick errand, what AC temperature should I set for the townhouse?","King of Prussia, PA",2200,Medium,5,285,Townhouse,93,12,17,15,12,81,4.81,4.76,5.13,9.63,5.579499999999999,3,10.23,1.94,10.65
2,"With 2 people home, what heat temperature should I set?","Carlisle, PA",1650,Poor,2,255,Townhouse,23,21,9,12,25,65,4.39,4.5,6.11,7.6,5.254,2,10.86,2.06,11.07
2,"With 2 people home, what heat temperature should I set?","Carlisle, PA",1650,Poor,2,255,Townhouse,23,21,9,12,25,68,3.73,3.86,8.6,7.6,5.329999999999999,1,11.85,2.25,12.08
2,"With 2 people home, what heat temperature should I set?","Carlisle, PA",1650,Poor,2,255,Townhouse,23,21,9,12,25,71,2.6,3.21,9.32,7.6,4.9075,3,12.84,2.44,13.09
3,"With 3 people home, what heat temperature should I set?","Lebanon, PA",2350,Medium,3,335,Single-family,21,25,14,12,26,66,3.09,3.24,7.0,7.6,4.601,1,12.8,2.43,13.04
3,"With 3 people home, what heat temperature should I set?","Lebanon, PA",2350,Medium,3,335,Single-family,21,25,14,12,26,69,2.34,2.52,9.32,7.6,4.588,2,13.92,2.64,14.19
3,"With 3 people home, what heat temperature should I set?","Lebanon, PA",2350,Medium,3,335,Single-family,21,25,14,12,26,72,1.59,1.79,8.6,7.6,3.9635,3,15.04,2.86,15.33
4,"With 5 people home, what AC temperature should I set?","Gettysburg, PA",1800,Good,5,360,Single-family,88,26,22,11,28,74,2.77,2.93,8.3,9.63,4.961,3,13.27,2.52,13.53
4,"With 5 people home, what AC temperature should I set?","Gettysburg, PA",1800,Good,5,360,Single-family,88,26,22,11,28,77,3.24,3.38,9.18,9.63,5.435499999999999,1,12.58,2.39,12.83
4,"With 5 people home, what AC temperature should I set?","Gettysburg, PA",1800,Good,5,360,Single-family,88,26,22,11,28,80,3.7,3.83,6.29,10.0,5.2085,2,11.89,2.26,12.12
5,"With 3 people home, what AC temperature should I set?","Monroeville, PA",2000,Medium,3,270,Condo,92,25,16,12,20,76,3.24,3.38,10.0,9.63,5.599499999999999,1,12.58,2.39,12.83
5,"With 3 people home, what AC temperature should I set?","Monroeville, PA",2000,Medium,3,270,Condo,92,25,16,12,20,78,3.54,3.67,8.6,9.63,5.510999999999999,2,12.13,2.31,12.37
5,"With 3 people home, what AC temperature should I set?","Monroeville, PA",2000,Medium,3,270,Condo,92,25,16,12,20,80,3.84,3.96,7.0,9.63,5.3825,3,11.68,2.22,11.91
6,"With 3 people home, what heat temperature should I set?","Indiana, PA",1900,Medium,3,235,Apartment,18,60,16,9,38,65,5.49,5.57,6.11,7.6,5.9585,2,9.21,1.75,9.39
6,"With 3 people home, what heat temperature should I set?","Indiana, PA",1900,Medium,3,235,Apartment,18,60,16,9,38,68,4.89,4.98,8.6,7.6,6.069999999999999,1,10.11,1.92,10.31
6,"With 3 people home, what heat temperature should I set?","Indiana, PA",1900,Medium,3,235,Apartment,18,60,16,9,38,71,4.27,4.4,9.32,7.6,5.824999999999999,3,11.01,2.09,11.23
7,"With 3 people home, what AC temperature should I set?","DuBois, PA",1950,Medium,3,305,Single-family,89,18,17,14,15,76,4.56,4.66,10.0,9.63,6.4435,1,10.61,2.02,10.81
7,"With 3 people home, what AC temperature should I set?","DuBois, PA",1950,Medium,3,305,Single-family,89,18,17,14,15,77,4.71,4.81,9.32,9.63,6.404999999999999,2,10.38,1.97,10.58
7,"With 3 people home, what AC temperature should I set?","DuBois, PA",1950,Medium,3,305,Single-family,89,18,17,14,15,78,4.87,4.96,8.6,9.63,6.361499999999999,3,10.15,1.93,10.35
8,"With 3 people home, what heat temperature should I set?","Reading, PA",2000,Medium,3,340,Single-family,20,18,16,13,16,65,6.06,6.12,6.11,7.6,6.322,1,8.36,1.59,8.52
8,"With 3 people home, what heat temperature should I set?","Reading, PA",2000,Medium,3,340,Single-family,20,18,16,13,16,72,4.85,4.94,8.6,7.6,6.044,2,10.17,1.93,10.37
8,"With 3 people home, what heat temperature should I set?","Reading, PA",2000,Medium,3,340,Single-family,20,18,16,13,16,79,3.64,3.77,1.53,6.03,3.622,3,11.99,2.28,12.22
9,"We're just getting in for the night, what heat temperature should I set overnight?","Quakertown, PA",1900,Good,3,280,Single-family,22,11,24,15,9,70,9.08,9.15,10.0,7.6,9.0665,1,3.85,0.73,3.75
9,"We're just getting in for the night, what heat temperature should I set overnight?","Quakertown, PA",1900,Good,3,280,Single-family,22,11,24,15,9,65,9.5,9.54,6.11,7.6,8.551,2,3.23,0.61,3.15
9,"We're just getting in for the night, what heat temperature should I set overnight?","Quakertown, PA",1900,Good,3,280,Single-family,22,11,24,15,9,60,9.91,9.92,0.0,3.75,7.0075,3,2.61,0.5,2.55
