scenario_id,question,location,decision_type,outdoor_temp,appliance_age,flow_rate,calculator,extraction_failed,gt_calculation_failed,alternative,energy_cost,environmental,comfort,practicality,rank,weighted_score
1,Cold day today with 2 people home. What's a good heating temperature?,"Bethlehem, PA",HVAC,26,,,HVACGroundTruthCalculator,False,False,67,8.3,8.31,6.11,7.29,2,7.714
1,Cold day today with 2 people home. What's a good heating temperature?,"Bethlehem, PA",HVAC,26,,,HVACGroundTruthCalculator,False,False,70,8.02,8.02,10.0,7.29,1,8.3065
1,Cold day today with 2 people home. What's a good heating temperature?,"Bethlehem, PA",HVAC,26,,,HVACGroundTruthCalculator,False,False,73,7.73,7.73,7.83,7.29,3,7.683999999999999
2,It's hot today and we're home as usual. What temperature should I set the AC to?,"Doylestown, PA",HVAC,91,,,HVACGroundTruthCalculator,False,False,72,5.42,5.43,5.73,9.59,3,6.110999999999999
2,It's hot today and we're home as usual. What temperature should I set the AC to?,"Doylestown, PA",HVAC,91,,,HVACGroundTruthCalculator,False,False,75,5.75,5.75,9.25,9.59,1,7.026
2,It's hot today and we're home as usual. What temperature should I set the AC to?,"Doylestown, PA",HVAC,91,,,HVACGroundTruthCalculator,False,False,79,6.18,6.18,7.59,9.59,2,6.9735
3,It's cold outside and we're home as usual. What should I set the heat to?,"Doylestown, PA",HVAC,19,,,HVACGroundTruthCalculator,False,False,68,4.15,4.15,8.46,7.29,1,5.483
3,It's cold outside and we're home as usual. What should I set the heat to?,"Doylestown, PA",HVAC,19,,,HVACGroundTruthCalculator,False,False,71,3.66,3.66,9.25,7.29,2,5.3225
3,It's cold outside and we're home as usual. What should I set the heat to?,"Doylestown, PA",HVAC,19,,,HVACGroundTruthCalculator,False,False,74,3.17,3.17,6.65,7.29,3,4.484
4,Someone's home all day and it's hot outside. What should I set the AC to?,"Media, PA",HVAC,87,,,HVACGroundTruthCalculator,False,False,75,6.82,6.82,9.32,9.59,2,7.7355
4,Someone's home all day and it's hot outside. What should I set the AC to?,"Media, PA",HVAC,87,,,HVACGroundTruthCalculator,False,False,78,7.18,7.19,8.6,10.0,1,7.8905
4,Someone's home all day and it's hot outside. What should I set the AC to?,"Media, PA",HVAC,87,,,HVACGroundTruthCalculator,False,False,81,7.55,7.55,5.13,10.0,3,7.433499999999999
5,Someone's home all day and it's cold. What heating temperature should I use?,"Media, PA",HVAC,23,,,HVACGroundTruthCalculator,False,False,67,6.99,6.99,6.11,7.29,2,6.859
5,Someone's home all day and it's cold. What heating temperature should I use?,"Media, PA",HVAC,23,,,HVACGroundTruthCalculator,False,False,70,6.64,6.64,10.0,7.29,1,7.4094999999999995
5,Someone's home all day and it's cold. What heating temperature should I use?,"Media, PA",HVAC,23,,,HVACGroundTruthCalculator,False,False,73,6.29,6.29,7.83,7.29,3,6.747999999999999
6,We're all out for 8 hours in the heat. What AC setting makes sense?,"Allentown, PA",HVAC,90,,,HVACGroundTruthCalculator,False,False,76,6.87,6.87,10.0,9.59,1,7.904
6,We're all out for 8 hours in the heat. What AC setting makes sense?,"Allentown, PA",HVAC,90,,,HVACGroundTruthCalculator,False,False,79,7.21,7.22,7.83,9.59,2,7.6945
6,We're all out for 8 hours in the heat. What AC setting makes sense?,"Allentown, PA",HVAC,90,,,HVACGroundTruthCalculator,False,False,82,7.56,7.56,4.06,10.0,3,7.226
7,We're all out for 8 hours in cold weather. What heating temperature is best?,"Allentown, PA",HVAC,21,,,HVACGroundTruthCalculator,False,False,66,6.69,6.69,5.13,7.29,3,6.467999999999999
7,We're all out for 8 hours in cold weather. What heating temperature is best?,"Allentown, PA",HVAC,21,,,HVACGroundTruthCalculator,False,False,69,6.33,6.33,9.32,7.29,1,7.071999999999999
7,We're all out for 8 hours in cold weather. What heating temperature is best?,"Allentown, PA",HVAC,21,,,HVACGroundTruthCalculator,False,False,72,5.97,5.97,8.6,7.29,2,6.693999999999999
8,The house will be empty for 12 hours today. What AC temperature should I set?,"Harrisburg, PA",HVAC,94,,,HVACGroundTruthCalculator,False,False,76,5.07,5.07,10.0,9.59,1,6.734
8,The house will be empty for 12 hours today. What AC temperature should I set?,"Harrisburg, PA",HVAC,94,,,HVACGroundTruthCalculator,False,False,79,5.52,5.52,7.34,9.59,2,6.494499999999999
8,The house will be empty for 12 hours today. What AC temperature should I set?,"Harrisburg, PA",HVAC,94,,,HVACGroundTruthCalculator,False,False,82,5.96,5.96,2.61,9.59,3,5.8345
9,The house will be empty for 12 hours today. What heat setting should I use?,"Harrisburg, PA",HVAC,17,,,HVACGroundTruthCalculator,False,False,66,5.39,5.39,4.28,7.29,3,5.452999999999999
9,The house will be empty for 12 hours today. What heat setting should I use?,"Harrisburg, PA",HVAC,17,,,HVACGroundTruthCalculator,False,False,69,4.98,4.98,9.18,7.29,1,6.1665
9,The house will be empty for 12 hours today. What heat setting should I use?,"Harrisburg, PA",HVAC,17,,,HVACGroundTruthCalculator,False,False,72,4.57,4.57,8.3,7.29,2,5.723999999999999
10,I'm working from home today and it's hot. What AC temperature should I use?,"Blue Bell, PA",HVAC,88,,,HVACGroundTruthCalculator,False,False,73,7.09,7.1,7.59,9.59,3,7.5685
10,I'm working from home today and it's hot. What AC temperature should I use?,"Blue Bell, PA",HVAC,88,,,HVACGroundTruthCalculator,False,False,76,7.28,7.28,10.0,9.59,1,8.1705
10,I'm working from home today and it's hot. What AC temperature should I use?,"Blue Bell, PA",HVAC,88,,,HVACGroundTruthCalculator,False,False,79,7.46,7.46,7.59,10.0,2,7.867
11,I'm working from home and it's cold outside. What should I set the heat to?,"Blue Bell, PA",HVAC,22,,,HVACGroundTruthCalculator,False,False,68,9.13,9.13,8.46,7.29,2,8.72
11,I'm working from home and it's cold outside. What should I set the heat to?,"Blue Bell, PA",HVAC,22,,,HVACGroundTruthCalculator,False,False,71,8.94,8.94,9.25,7.29,1,8.7545
